Organization Name	Organization Name URL	Founded Date	Founded Date Precision	Number of Employees	Full Description	Website	Industries	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	PP URL
Desire Group International limited	https://www.crunchbase.com/organization/desire-group-international-limited	2022-09-08	day	1-10	Desire Group International is a U.K based company,  headquartered in Central London. Our Mission is to make your world better and will accelerate your company's growth and bring in the ideal clients We possess the key to changing it through conversation and revolutionising the revenue streams. Our goal is to support the companies growth with tried-and-true advanced strategies that generate high-level growth. We are an exceptional growth partners and use the most innovative approaches to modern sales development and enhance your revenue with a better deal closure rate all without raising any funding. We are focused on using various cutting-edge technology to bring the best solution for you and our highly experienced team works along well with it. Working with us will give you a better competitive advantage as we have partnerships with various companies across who are experienced, ambitious, and have a DESIRE to grow themselves. Growing business For different Companies In Various Sectors	https://www.desiregroupinternational.co.uk/	Business Development, Collaboration, Enterprise Software, Information Technology, Marketing, Marketing Automation, Professional Services, SaaS, Sales, Software	London, England, United Kingdom	Saas, Business development, Techsales, Marketing, Technology, Services,	412,544													https://www.desiregroupinternational.co.uk/privacy-policy
WorkHub Platform Inc.	https://www.crunchbase.com/organization/workhub-ai	2022-08-01	month	51-100	WorkHub is a tech company established in July 2022, providing affordable team productivity solutions, especially for remote work. Our mission statement is to create affordable productivity solutions for all businesses. Our target market is B2B customers around the globe. Our software systems improve communication, collaboration, employee rewards, and recognition. WorkHub empowers organizations to overcome challenges using technology. Our employees are our great resource and the focal point of our competitive advantage. We are growing very fast and reached 50+ team members in a short time.	https://www.workhub.ai/	B2B, Collaboration, Software	San Jose, California, United States	WorkHub is providing affordable team productivity solutions and improve communication, collaboration, employee rewards, and recognition	229,404	130,118	39,753.17	1,382.32%	14.91%	925	3.51	-13.63%	27.45%	-12.08%	459,552	-1,880,548	-80.36%	https://www.workhub.ai/privacy-policy/
Neu Ocean Technologies	https://www.crunchbase.com/organization/neu-ocean-technologies	2022-02-24	day	101-250	Neu Ocean offers a comprehensive business management solution to help business increase productivity and improve quality with minimum resources ar less time. The solution is a set of over 130 modules and features including Accounting, HRM, Sales, Inventory, CRM, project management, web builder, customer service, email marketing, social media management customers' portal, suppliers' gateway and more, all at one dashboard and sharing the same database. All are integrated with Unified communication tools and collaboration features. Neu Ocean was founded in 2022 by Amir Negm and is based in London, United Kingdom.	https://neuocean.com	Cloud Computing, Collaboration, Enterprise Software, IaaS, Information Technology, PaaS, Productivity Tools, Project Management, SaaS	London, England, United Kingdom	Scalable AI-powered business management and automation PaaS & IaaS Provider.	134,636													
Coleridge Initiative	https://www.crunchbase.com/organization/coleridge-initiative	2022-01-01	year	11-50	The Administrative Data Research Facility (ADRF) provides a secure platform to host confidential micro-data. The ADRF is designed to promote collaboration, facilitate documentation, and provide information about use to data stewards.  They are working with the research community to build a set of tools that enable collaborative knowledge creation and discovery with confidential microdata. Their goal is to transform the empirical foundation of social and health sciences research.	https://coleridgeinitiative.org/	Analytics, Collaboration, Information Technology	Brooklyn, New York, United States	Coleridge Initiative is a company that provides cutting-edge analytics skills and apply them to real world micro-data.	78,611	1,572	9,001	-64.86%	47.32%	165	3.81	26.97%	6.36%	-80.92%	6,062,300	2,483,928	69.42%	https://textbook.coleridgeinitiative.org/chap-privacy.html
Calliper	https://www.crunchbase.com/organization/calliper	2022-01-01	year	1-10		https://www.getcalliper.com/	Analytics, Business Intelligence, Collaboration, Data Visualization	London, England, United Kingdom	Making data accessible and actionable for every team.	169,793	4,050				191	2.92		10%		3,743,703			https://www.getcalliper.com/privacy
Countercyclical	https://www.crunchbase.com/organization/countercyclical	2022-01-01	year	1-10		https://countercyclical.io	Analytics, Collaboration, Finance, Internet	Chicago, Illinois, United States	Countercyclical is an investment analysis and valuation platform that helps investors build and manage their investment workflows	179,178													
Coze	https://www.crunchbase.com/organization/coze-e267	2022-01-01	year	11-50	Coze is a collaboration-enabled virtual office space that helps remote and hybrid teams stay connected through building a presence-based culture and work productively through drop-in audio/video chats and engaging and interactive meeting solutions. Coze allows teams to interact more spontaneously, work more creatively, and establish a stronger team culture.	https://coze.com 	Collaboration, Enterprise Software, Messaging, Productivity Tools	Mountain View, California, United States	Coze is a virtual office platform for remote and hybrid teams	605,007													https://www.coze.com/privacy-policy
Specroot	https://www.crunchbase.com/organization/specroot	2022-01-01	year	1-10		https://specroot.com/	Collaboration, Project Management	Tallinn, Harjumaa, Estonia	Helping you and your team turn the right ideas into reality, faster.	651,032													https://specroot.com/terms
TrackBug	https://www.crunchbase.com/organization/trackbug	2022-01-01	year	11-50		https://trackbug.io	Collaboration, Information Technology	Delhi, Delhi, India	TrackBug is a cloud-based suite solution for enterprise collaboration.	1,036,938													https://trackbug.io/terms-and-conditions/
NocoDB	https://www.crunchbase.com/organization/xgenecloud	2021-12-01	month	1-10	NocoDB is an open-source Airtable alternative that transforms existing databases into a smart spreadsheet. The company was founded in 2021 and is headquartered in San Francisco, California, United States.	https://nocodb.com	Collaboration, Database, Infrastructure, Open Source	San Francisco, California, United States	NocoDB is an open-source nocode database that instantly provides spreadsheets over databases.	2,145	52,329	36,001.67	31.71%	446.52%	1,022	1.34	10.41%	74.57%	-8.47%	840,461	-131,186	-13.5%	https://www.nocodb.com/policy
Werk	https://www.crunchbase.com/organization/werk-d25a	2021-09-01	day	11-50	Werk enables remote teams to reach their most productive version of them. With async conversations, enrich the team’s location and time independency. With task management, thread chat and hyperdocs features enhance working asynchronously. Also, when you need a quick touch to your teammates ping them and drop in to sync voice chat.	https://usewerk.com	B2B, Collaboration, Communications Infrastructure, Document Management, Productivity Tools, Project Management, SaaS, Software	San Francisco, California, United States	Werk is an asynchronous collaboration tool for remote and hybrid teams.	59,947	1,492	1,303.5	349.4%	-96.2%	0	1.0	0%	100%	0%	6,184,638	-2,776,329	-30.98%	https://www.usewerk.com/privacy
