Name	Description	Location	Employees	Type	Website	Rank	Founded Date	Operating Status	Company Type	Contact Email	Headquarters Regions	Legal Name	Phone Number	Founders	Funding	Last Funding Type	Also Known As	Hiring	Stock Symbol	Sub-Organization of	Venture Info 1	Venture Info 2	Investor Type	Investment Stage	Related Hubs	Accelerator Program Type	Hub Tags	Industry 1	Industry 2	Industry 3	Industry 4	Industry 5	Industry 6	Industry 7	Industry 8	Industry 9	Industry 10	Industry 11	Industry 12	Industry 13	Industry 14	Industry 15	Industry 16	Industry 17	Industry 18	Industry 19	Industry 20	Industry 21	Industry 22	Industry 23	Industry 24	Industry 25	Industry 26	Industry 27	Industry 28	Industry 29	Industry 30	Industry 31	Industry 32	Industry 33	Industry 34	Industry 35	Industry 36	Industry 37	Link 1	Link 2	link_3	PP URL
01s-community-company	01S Community company communicates and interacts for a network of exchange, personal and professional growth.	Arezzo, Toscana, Italy	51-100	Private	www.01s.it/	1,284,758		Active	For Profit	info@01s.it	European Union (EU)	01S Community Company	+39 0575 194 33 10															Cloud Computing	Information Technology	Web Apps																																			https://www.facebook.com/01esse/	https://www.linkedin.com/company/01s-community-company/		
1000-digital	1000 ° Digital develops innovative web applications, digital tools and communication solutions for the complex publication process.	Leipzig, Sachsen, Germany	11-50	Private	www.1000grad.de	1,480,851	2000	Active	For Profit	info@1000grad.de	European Union (EU)		+49 341 963 82 0															Software	Technical Support	Web Apps	Web Design																																		https://www.facebook.com/1000graddigital	https://www.linkedin.com/company/1000digital/	https://twitter.com/1000digital	
100-net	100% Net is a global internet solution for all digital communication projects.	Pérols, Limousin, France	1-10	Private	www.100pour100net.com//	986,874	2003	Active	For Profit	contact@100p100.net	European Union (EU)	100% Net	04 67 99 64 91															Computer Vision	Digital Marketing	Information Technology	Internet	Mobile Apps	Web Apps	Web Design	Web Development	Web Hosting																													https://www.facebook.com/100pour100Net/	https://www.linkedin.com/company/100-net/	https://www.twitter.com/100pour100net	
100starlings	100 Starlings creates web and mobile apps, they provide consultancy, design, architecture, operations, training, and support services.	London, England, United Kingdom	1-10	Private	www.100starlings.com/	388,746	2015	Active	For Profit	info@100starlings.com		100Starlings Ltd.	+44-7479478428															Consulting	Mobile	Software	Training	Web Apps																																	https://www.linkedin.com/company/100starlings-limited/	https://twitter.com/100Starlings?utm_source=himalayas.app&ref=himalayas.app		
10geeks-software-engineering	10Geeks designs, develops, and analyzes tailor-made web solutions and apps for software devices.	Fohren, Baden-Wurttemberg, Germany	1-10	Private	www.10geeks.com	651,610	Jan 1, 2012	Active	For Profit	info@10geeks.com	European Union (EU)		496502 9966930															Analytics	Software	Web Apps	Web Development																																		https://www.linkedin.com/company/10geeks			
121-digital-media	121 Digital Media provides information technology services.	Cannes, Provence-Alpes-Cote d'Azur, France	1-10	Private	www.121digitalmedia.eu/	1,119,062	Jan 1, 2009	Active	For Profit	contact@121digitalmedia.eu	European Union (EU)		33 467407930															Advertising	Digital Media	Mobile Apps	Web Apps																																		https://www.linkedin.com/company/121-digital-media/			
150sec-com	150sec focuses on thought-provoking stories around Europe’s Emerging Startup Scenes.	Cluj, Cluj, Romania	1-10	Private	150sec.com/	619,758	2015	Active	For Profit	info@150sec.com	European Union (EU)			Adrian Pica, Agata Kukwa														Communities	Digital Media	Events	Internet	Media and Entertainment	News	Web Apps																															https://www.facebook.com/150sec	https://www.linkedin.com/company/10261998	https://twitter.com/150sec	
158	Software Development Company	Varna, Varna, Bulgaria	11-50	Private	wollow-soft.com	730,798	Apr 21, 2010	Active	For Profit	office@wollow-soft.com	European Union (EU)	Wollow International Ltd	+359893621112	Ivelin Ivanov														Cloud Data Services	Mobile Apps	Software	Software Engineering	UX Design	Web Apps	Web Development																															https://www.facebook.com/follow.wollow	https://www.linkedin.com/company/wollow-international		
1minus1	1minus1 is a design development & marketing agency that creates leading-edge websites, web applications, mobile apps that helps marketing.	Farnham, Surrey, United Kingdom	11-50	Private	1minus1.com/	612,846	Jan 1, 2004	Active	For Profit	hq@1minus1.com			44.(0).1252.413954	Jonathan Hill														Marketing	Mobile Apps	Web Apps																																			https://en-gb.facebook.com/1minus1/	https://twitter.com/1minus1limited		https://1minus1.com/legal/privacy
1t-solutions	1T Solutions is a supplier of computer hardware, software, services, and support.	Rotherham, Rotherham, United Kingdom	1-10	Private	www.1t-s.com	1,116,252	1989	Active	For Profit	sales@1t-s.com		1T Solutions Limited	+44 01709 371441															Consulting	Hardware	Information Technology	SEO	Software	Training	Web Apps	Web Design	Web Hosting	Wireless																												https://www.linkedin.com/company/1tsolutions/	https://twitter.com/intent/follow?original_referer=http%3A%2F%2Fwww.1t-s.com%2F&ref_src=twsrc%5Etfw%7Ctwcamp%5Ebuttonembed%7Ctwterm%5Efollow%7Ctwgr%5E1tsolutionsltd&screen_name=1tsolutionsltd		
21st-webb-ltd	UK based company providing web hosting solutions, e-mail services, domain registration and business communications, including IP Telephony.	Denbigh, Denbighshire, United Kingdom		Private	21stwebb.co.uk	1,403,421	Nov 17, 2015	Active	For Profit	contactus@21stwebb.com		21st Webb LTD	+44 (0) 3333 661289															Business Information Systems	Communication Hardware	Database	Email	Small and Medium Businesses	Software	Telecommunications	VoIP	Web Apps	Web Hosting																												http://facebook.com/21stwebb	https://www.linkedin.com/company/21st-webb/	http://twitter.com/21st_Webb	https://21stwebb.co.uk/privacy/
23g	23G offers website development, app development, and smart web applications.	Rotterdam, Zuid-Holland, The Netherlands	11-50	Private	23g.io	437,310	2010	Active	For Profit	info@23g.nl	European Union (EU)		+31 10 412 6662															Apps	Web Apps	Web Development																																			https://www.facebook.com/23gnl/	https://www.linkedin.com/company/23g	https://twitter.com/23g_nl	
247-wms	247 WMS offers supply chain software and design services.	Oisterwijk, Noord-Brabant, The Netherlands	11-50	Private	247wms.com	854,039	2013	Active	For Profit	info@247wms.com	European Union (EU)	247 Dynamics BV.	+31 0 13 303 1000															Mobile Apps	Software	Warehousing	Web Apps																																		https://www.linkedin.com/company/247wms/			
2advance	2advance offers web applications, mobile apps, SEO, programming support, and other web services.	Tägerwilen, Thurgau, Switzerland	1-10	Private	2advance.ch	854,382	2009	Active	For Profit	info@2advance.ch		2advance GmbH	41 79 612 67 47															Mobile Apps	SEO	Software	Web Apps																																		https://www.facebook.com/2advance.gmbh	https://www.linkedin.com/company/2advance-gmbh		
2develop	2Develop is an IT company that offers backup, cloud, security, web design, hosting and maintenance services.	Nijmegen, Gelderland, The Netherlands	1-10	Private	www.2develop.nl	1,555,692	Sep 2, 2015	Active	For Profit	contact@2develop.nl	European Union (EU)			Patrick Buijs														Security	Web Apps	Web Design																																						
2m-a2i	2M-A2I is an IT company that provides EDI engineering, web apps development, project management, and IT consulting services to its clients.	Reims, Champagne-Ardenne, France	11-50	Private	www.2m-a2i.fr/	1,548,285	2010	Active	For Profit	webmaster@2m-a2i.fr	European Union (EU)		+33 03 5164 9698															Consulting	Information Technology	Project Management	Software Engineering	Web Apps	Web Development																																https://www.linkedin.com/company/2m-a2i/	https://twitter.com/2m_a2i		
2open	2Open creates websites, web & management apps, documents archives, web hosting, VoIP, and digital marketing.	Roma, Lazio, Italy	11-50	Private	www.2open.it	1,158,821	Mar 4, 2005	Active	For Profit	info@2open.it	European Union (EU)		39-062022646															Digital Marketing	Software	Web Apps																																			https://www.facebook.com/2open.it	https://www.linkedin.com/company/2open/?originalSubdomain=in	https://twitter.com/2openit	https://www.2open.it/cookie-policy-it.html
2see-technology-c7bc	2SEE Technology specializes in web design, web development, webshops and web applications.	Woerden, Zuid-Holland, The Netherlands	1-10	Private	www.2see.nl	2,059,535	2002	Active	For Profit	info@2see.nl	European Union (EU)		+31-348423890															Web Apps	Web Design	Web Development																																			https://www.linkedin.com/company/2see-technology/			
2w-media	2wmedia is an innovative agency for internal and external corporate communication with web applications, animations, and graphics services.	München, Bayern, Germany	11-50	Private	www.2w.de	1,239,553	Jan 1, 1999	Active	For Profit	INFO@2W.DE	European Union (EU)		49-89-30 90 45 60															Advertising	Animation	Graphic Design	Web Apps																																		https://www.facebook.com/2wmediagmbh/	https://www.linkedin.com/company/2w-media-gmbh/		
