Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
edureka!,https://www.crunchbase.com/organization/edureka,"Edureka is an e-learning platform providing live, online training in trending technologies. It provides comprehensive courses in Big Data & Analytics, Cloud Computing, Programming, Application Development, and other trending technologies. The company was founded in 2011 and is based in Bangalore, India.","Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, Training, Web Development",http://www.edureka.co,"Bangalore, Karnataka, India","Edureka is an e-learning platform providing live, online training in trending technologies.","13,642","6,545,404","5,727,024.83",41.98%,37.96%,745,2.27,54.69%,82.15%,-3.42%,"24,844","-8,005",-24.37%,Asia-Pacific (APAC),Active,2011-05-01,month,4,501-1000,"Abhishek Vinod Singh, Kapil Tyagi, Lovleen Bhatia, Vineet Chaturvedi",2,40,,,
Atatus,https://www.crunchbase.com/organization/atatus,"Atatus is a SaaS-delivered application performance and error tracking solution, delivering full-stack visibility for all your apps. Our platform is able to dynamically collect millions of performance data points across your applications, so you can quickly resolve issues, and improve digital customer experiences. And all this happens in real time, in production, with cloud or on-premise deployment flexibility. For more information, visit www.atatus.com.","Analytics, Application Performance Management, Cloud Computing, Information Technology, Internet, SaaS, Software",https://www.atatus.com,"Chennai, Tamil Nadu, India","Atatus is a full-stack monitoring application that offers performance management and tracks errors for web, mobile, and server apps.","246,245","5,419,100","4,388,887.67",8.36%,3.43%,422,1.77,15.61%,64.22%,-3.7%,"28,839",905,3.24%,Asia-Pacific (APAC),Active,2014-03-18,day,1,11-50,Fizer Khan,,,,,
Empxtrack,https://www.crunchbase.com/organization/empxtrack,"Empxtrack is one of the most trusted integrated web-based HR solutions that manages all aspects of the Human Resource department and provides comprehensive data for informed decision making.  It uniquely combines Performance Management, Human Capital Management, Payroll, Compensation Planning, Talent Acquisition, Self and Manager Services, Compliance, Rewards and Recognitions, Manpower Planning, Surveys and a comprehensive Employee Database with advanced search features. Empxtrack is currently used by more than 200,000 world-wide employees located across 20+ countries.  Empxtrack has some new offerings for startups and SMBs with a freedom to build their own HR software at no cost.  Empxtrack is offering 360 Feedback, Performance Appraisal, Employee Portal, Payroll and Exit Management at absolutely no cost. It is giving an opportunity to organizations across the world to procure HR software without any risk. The idea behind the latest offerings is to help organizations automate their HR processes and change the way HR software is purchased. No risk, No sales calls, No Wait. Start using a product immediately and add features whenever required.","Application Performance Management, Cloud Computing, Human Resources, Information Technology, SaaS, Software",http://www.empxtrack.com,"Noida, Uttar Pradesh, India","Empxtrack is a SaaS-based software that provides Human Capital Management, Performance Management, Recruitment and Strategic HR solutions","249,802","4,561,629","1,663,099",589.47%,-73.33%,12,1.34,-13.28%,67.61%,-0.04%,"33,757","-109,698",-76.47%,Asia-Pacific (APAC),Active,2002-01-01,year,1,51-100,Tushar Bhatia,,,,,
Securtime,https://www.crunchbase.com/organization/securax-tech-solutions-i-pvt-ltd,SecurAX Tech Solutions is a India based organization focused on assisting clients to identify and mitigate security challenges. A distinctive hallmark of their services is their commitment to providing personalized attention while ensuring the requirements of their clients are met through their partnership with international market leaders in the security field.,"Cloud Computing, Information Technology, Intelligent Systems, Security, Software",https://www.securtime.com/,"Bangalore, Karnataka, India",Securtime is a software company that provides attendance management solutions in global markets.,"182,051","1,900,865","8,417,464",-42.03%,309.27%,334,1.22,21.75%,86.93%,-13.06%,"65,755","26,310",66.7%,Asia-Pacific (APAC),Active,2012-01-01,year,3,101-250,"Deepak N Belavadi, Prasanna Kumar Kotha, Praveen Gongireddy",,,,,
Sysvine Technologies,https://www.crunchbase.com/organization/sysvine-technologies,,"Cloud Computing, Information Technology, Software",https://www.sysvine.com/,"Chennai, Tamil Nadu, India",Sysvine is a Software Engineering Service Provider with 150+ Software and Systems Engineers building our client’s software products.,"209,400","764,898","1,087,587.67",-59%,139.73%,"1,786",19.31,82.3%,13.3%,10.37%,"131,426","69,759",113.12%,Asia-Pacific (APAC),Active,2000-01-01,year,2,101-250,"Joe Selvaraj, Katie Selvaraj",,,,,
Jigsaw Academy,https://www.crunchbase.com/organization/jigsaw-academy,"Jigsaw Academy offers courses in big data and data analytics at the beginner, intermediate, and advanced levels, as well as specialized courses for specific sectors.Our course content is developed by analytics experts from around the world and taught  by well-qualified faculty with extensive experience in their respective domains. Our vision of offering an industry-relevant curriculum has led to innovative partnerships with leading academic institutions such as SDA Bocconi in Milan, Italy, Great Lakes Institute of Management in Chennai and the IIM in Bangalore. As our award winning courses are well recognized in the industry, Jigsaw is the approved analytics training partner for many large organizations, including Accenture, Infosys and Genpact.","Analytics, Big Data, Cloud Computing",http://jigsawacademy.com,"Bangalore, Karnataka, India",Jigsaw Academy is an online analytics education provider that offers data analytics tools and techniques to its users.,"29,436","355,335","347,187.5",56.78%,-2.97%,424,1.25,10.61%,83.88%,-8.32%,"222,773","-64,767",-22.52%,Asia-Pacific (APAC),Active,2011-01-21,day,2,51-100,"Gaurav Vohra, Sarita Digumarti",,,,,
Persistent Systems,https://www.crunchbase.com/organization/persistent-systems,"Persistent Systems offers software product concept and design, agile product engineering, performance engineering, support assurance, quality assurance, and other professional technological services. The company’s services and products are based on the technological concepts: analytics and big data, cloud, embedded systems and devices, enterprise mobility, product lifecycle management, social and gamification, and security, identity, and access. Cloud Assessment Tool, Pebal, Hive, Skype Framework, Exploriments, PEAS, and SIM2OIM Migration service are some of the tools developed by the company. Amazon Web Services (AWS), Global Strategic Partner of Appian, CollabNet, VMforce, Thunderstone, IBM, Microsoft, Google Enterprise Professional Program, and Motorola's PartnerSelect ISV Program are some of the partner ecosystems of Persistent Systems. Persistent Systems was founded in October 1990 and is based in Pune, India.","Analytics, Big Data, Cloud Computing, Embedded Systems, Product Design, Security, Software",http://www.persistent.com/,"Pune, Maharashtra, India","Persistent Systems offers software product concept and design, performance engineering, quality assurance, and other professional services.","81,683","260,875","144,872.17",98.87%,-22.05%,99,1.4,-15.5%,83.53%,15.89%,"276,135","-139,763",-33.61%,Asia-Pacific (APAC),Active,1990-10-19,day,1,10001+,Anand Deshpande,18,,,,
Knowlarity Communications,https://www.crunchbase.com/organization/knowlarity-communications,"Knowlarity Communications is a cloud telephony company that allows automated communication by enabling operators to work online via Cloud. It helps businesses to work on an effective communication network through cloud solutions such as Click to call, number masking, multi-level IVR system, WhatsApp Business API, Toll-free no, Embeddable Video Platform, AI-enabled solutions like Speech Analytics & VoiceBot/ChatBot, and more.","Cloud Computing, Emerging Markets, SaaS, Small and Medium Businesses, Telecommunications",http://knowlarity.com,"Gurgaon, Haryana, India",Knowlarity Communications is a cloud telephony company that allows automated communication by enabling operators to work online via Cloud.,"16,926","204,861","184,373.33",13.45%,70.51%,"1,717",9.93,140.07%,41.03%,-1.87%,"337,804","-17,335",-4.88%,Asia-Pacific (APAC),Active,2009-08-17,day,2,251-500,"Ambarish Gupta, Pallav Pandey",,,,,
Cloud Pencils Private Limited,https://www.crunchbase.com/organization/cloud-pencils-pvt-ltd,"Cloud Pencils Private Limited (CPPL) was established as a SaaS ERP product company on January 1, 2015 under the parent, Nlogix Solutions, a wholly owned subsidiary of Naraiuran Controls India Private Limited. CPPL was built on the foundation of over 20 years of relevant Enterprise Resource Planning (ERP) experiences in various industries since 1994. CPPL launched its first 100% cloud based ERP offering under the product series “On Cloud ERP” (www.onclouderp.com). OnCloudERP is a SaaS based modern ERP product for every small, medium, and large enterprise globally that are looking for powerful, reliable, scalable, and yet affordable enterprise solutions to efficiently operate and run their businesses. Our mission is to bring a simple ERP solutions that intellectual and powerful.","Cloud Computing, Internet, SaaS, Small and Medium Businesses",http://www.onclouderp.com/,"Chennai, Tamil Nadu, India","Cloud ERP for small and medium sized businesses in Manufacturing, Retailing and Trading","483,101","178,032","132,294.33",69.22%,-3.66%,"1,815",8.85,-0.27%,18.75%,-23.12%,"358,634","-123,254",-25.58%,Asia-Pacific (APAC),Active,2015-01-05,day,1,11-50,Ravishankar Natarajan,,,,,
Shopsense Retail Technologies Limited,https://www.crunchbase.com/organization/fynd-3,"Fynd is India's Largest Fashion O2O company with real-time inventory access to over 9000+ stores. Being a unique fashion e-commerce portal, it brings the latest in-store fashion online. The company channelizes its combined outreach to offer the best brands and fashion along with superior customer services to its ever-growing clientele. Technology plays a major part in the company's growth and APIs are the backbone of this business. Founded by Farooq Adam, Harsh Shah, and Sreeraman MG, the Mumbai-based firm was incepted in 2012 as Shopsense Retail Technologies Pvt Ltd. However, in November 2015 the company pivoted to Fynd, a unique fashion e-commerce portal offering fresh fashion to customers much ahead of any other e-commerce player. In March 2018, Fynd raised an undisclosed amount of funding in its Series C round led by Google and other existing investors including Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Hong Kong-based Axis Capital among other angel investors. The latest round of funding will be utilised to improve engagement between consumers and retailers. So far, Fynd had raised $3.4 Mn funding in Series A from investor groups led by IIFL. The capital was used to reach out to more than 20 million customers and increase inventory to include more than 15 lakh products. Fynd’s capability of sourcing its products across various fashion categories directly from most prominent brands' stores in the country, enables it to develop this edge over any other e-commerce marketplace. At present, Fynd serves customers located across India and receives inventory data from stores in 42+ cities.","Cloud Computing, E-Commerce, Fashion, Mobile, Retail, Shopping",https://www.fynd.com,"Mumbai, Maharashtra, India",Fynd is an Indian e-commerce platform for fashion shopping,"45,153","163,933","113,323.17",129.35%,-53.23%,659,2.14,-52.71%,73.39%,84.91%,"393,155","-270,403",-40.75%,Asia-Pacific (APAC),Active,2012-09-27,day,3,251-500,"Farooq Adam, Harsh Shah, Sreeraman Mohan Girija",,,,,
NetTantra Technologies,https://www.crunchbase.com/organization/nettantra,,"Artificial Intelligence, Cloud Computing, Information Services, Information Technology, Software",https://www.nettantra.com/,"Bhubaneswar, Orissa, India","NetTantra is a boutique Technology Consulting Firm specializing in the fields of AI, Blockchain, Cloud Computing, IT & Software Development.","171,618","142,616","36,132",103%,19.22%,"2,692",2.94,-20.86%,34.4%,5.01%,"431,957","-239,270",-35.65%,Asia-Pacific (APAC),Active,2011-05-23,day,2,51-100,"Devadatta Sahoo, Pitabas Behera",,,,,
Radixweb,https://www.crunchbase.com/organization/radix-web,"Radixweb is a global information technology services, solutions and custom software development company. With proficiency in PHP, .NET, System Programming and Embedded Development, They function across an entire spectrum of industry garnering knowledge of core domain processes and industry standards. Radixweb is an expert in enterprise class real time applications hosted on Cloud or SaaS, device driver development, embedded applications for Windows and Linux and CRM applications using Microsoft SharePoint and Azure architectures.","Application Performance Management, Cloud Computing, Cloud Management, Consumer Applications, Information Services, Information Technology, SaaS, Software, Software Engineering, Web Development",https://radixweb.com/,"Ahmedabad, Gujarat, India",Radixweb is a Custom Software and Web Development Company.,"22,339","128,305","84,719.33",8.89%,-62.28%,86,1.14,2.3%,92.55%,0.03%,"463,875","-10,703",-2.26%,Asia-Pacific (APAC),Active,2000-07-21,day,2,251-500,"Dharmesh Acharya, Divyesh Patel",,,,,
E2E Networks,https://www.crunchbase.com/organization/e2e-networks,"E2E Networks has been into the business of providing Low latency Dedicated Servers and VPS Servers in India since 2009. E2E Networks help architect your production site at the datacenter in a cost effective manner, thus lowering your risk and investment drastically, including strategies and managed services help for implementing the most suitable cloud architecture based on public, private or hybrid cloud platforms for your web facing or enterprise applications.","Cloud Computing, Web Hosting",http://e2enetworks.com,"Faridabad, Haryana, India",E2E Networks is a hosting and cloud computing startup that focuses on serving the needs of startups in India.,"80,081","127,877","90,435.33",97.94%,22.64%,520,2.89,1.61%,36.54%,-27.02%,"448,757","-217,470",-32.64%,Asia-Pacific (APAC),Active,2008-06-01,day,1,1-10,Tarun Dua,,,,,
pCloudy,https://www.crunchbase.com/organization/pcloudy-com,"pCloudy.com provides an analytics-driven platform for manual and automated testing of apps on mobile devices. It is a mobile application testing platform on cloud. pCloudy.com provides its users with remote access to real Android devices using a browser. It specializes in mobile application testing, debugging, and collaboration. pCloudy.com aims to improve the quality of mobile applications and mobile websites. Launched in 2013 by Anil Adireddi, Nilesh Tarale, Bhavesh bhojani, and Jaffer sadhiq, pCloudy.com is operated from Bangalore, Karnataka.","Automotive, Cloud Computing, Mobile, Test and Measurement",http://www.pcloudy.com,"Bangalore, Karnataka, India",pCloudy is an online platform that offers Android and iOS application testing solutions.,"190,360","124,561","57,777.67",62.18%,39.42%,"1,291",6.8,39.56%,47.26%,17.15%,"455,650","-139,012",-23.38%,Asia-Pacific (APAC),Active,2013-08-30,day,5,1-10,"Anil Adireddi, Avinash Tiwari, Bhavesh bhojani, Jaffer sadhiq, Nilesh Tarale",,,,,
ONMO,https://www.crunchbase.com/organization/onmo,"ONMO develops online tools for mobile gaming through the cloud platform. It creates various types of mobile games that runs without device hardware and storage spaces. ONMO is based in Karnataka, India.","Cloud Computing, Cloud Infrastructure, Gaming, Mobile Apps, Online Games",https://www.onmo.com/,"Bangalore, Karnataka, India",ONMO develops online tools for mobile gaming through the cloud platform.,"274,841","108,811","35,061.17",110.47%,-54.05%,335,2.34,13.68%,11.08%,-65.47%,"500,798","-268,445",-34.9%,Asia-Pacific (APAC),Active,,,,,,,,,,
ServerGuy,https://www.crunchbase.com/organization/serverguy,"ServerGuy is a managed cloud company that helps businesses of all sizes harness the power of cloud computing without the complexity and cost of managing it on their own. Our man + machine approach simplifies the process of management, migration, security, and optimization of customer's cloud infrastructure.","Cloud Computing, Cloud Management, Cloud Security, Web Hosting",https://serverguy.com,"Delhi, Delhi, India",The Managed Cloud Company,"236,033","85,934","82,787.83",-21.7%,-60.24%,169,1.17,5.16%,92.34%,0.09%,"606,275","108,255",21.74%,Asia-Pacific (APAC),Active,2009-01-01,year,2,11-50,"Arun Bansal, Sahil Chugh",,,,,
Pocket HRMS,https://www.crunchbase.com/organization/pocket-hcm,"Pocket HRMS is a complete Cloud based HR Solution with best in class security for data protection. It is a complete end to end HR management software in India. With offices based in Mumbai, Delhi, Gurgaon and Bangalore, the team offers productivity and low costs.  From 'Hire to Retire', Pocket HRMS gives complete workflow on Cloud. With Self Service Module, employees can access on the go from anywhere and any device to update their vital information or apply and approve leaves. Declaration proofs can also be uploaded into the system directly. SMS SAGE to 56767 to know more","Cloud Computing, Developer Platform, Enterprise Software, Software",https://www.pockethrms.com/,"Mumbai, Maharashtra, India",Pocket HRMS is a leading cloud based HR Software with fully equipped offices and development centers across India,"246,020","71,146","73,527.5",21.09%,-22.54%,457,4.33,-9.74%,13.82%,-39.09%,"665,648","-42,106",-5.95%,Asia-Pacific (APAC),Active,2002-01-01,year,,101-250,,,,,,
Olvy,https://www.crunchbase.com/organization/olvy,"Olvy's product features a customizable user interface, multiple widget styles, feedback, and the ability to customize the domain, site, and branding. The product also filters categories and integrates SEO. Sentiment analysis technology is used to analyze product releases and journeys via a dashboard.","Analytics, Cloud Computing, Enterprise Software, Software, Software Engineering",https://olvy.co/,"Bengaluru, Karnataka, India",Olvy is a provider of cloud-based feedback analytics software.,"204,905","62,151","49,966.83",91.46%,-9.99%,802,1.69,36.07%,53.28%,-31.24%,"726,700","-313,510",-30.14%,Asia-Pacific (APAC),Active,2020-01-01,year,1,1-10,Arnob Mukherjee,,,,,
