Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Datadog,https://www.crunchbase.com/organization/datadog,"Datadog is an essential monitoring platform for cloud applications. It brings together data from servers, containers, databases, and third-party services to make your stack entirely observable. These capabilities help DevOps teams avoid downtime, resolve performance issues, and ensure customers are getting the best user experience.","Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Productivity Tools, SaaS",https://www.datadoghq.com,"New York, New York, United States",Datadog offers monitoring and analytics for cloud-based workflows.,450,"33,278,807","35,617,981.33",-12.3%,13.1%,"1,062",1.85,21.42%,73.31%,-1.62%,"4,898",868,21.54%,"Greater New York Area, East Coast, Northeastern US",Active,2010-01-01,year,2,1001-5000,"Alexis Le-Quoc, Olivier Pomel",,,86935805,USD,86935805
Matterport,https://www.crunchbase.com/organization/matterport,"Matterport is the digital transformation of the built world. The Company’s groundbreaking spatial computing platform turns buildings into data making every space more valuable and accessible. Millions of buildings in more than 150 countries have been transformed into immersive Matterport digital twins to improve every part of the building lifecycle from planning, construction, and operations to documentation, appraisal and marketing.","3D Technology, Cloud Computing, Data Visualization, Virtual Reality",http://www.matterport.com,"Sunnyvale, California, United States",Matterport is a developer of a 3D media platform used to establish 3D and virtual reality models.,"17,479","28,175,899","30,384,739.67",-17.1%,3.16%,915,1.44,3.72%,78.23%,0.81%,"5,699",907,18.93%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2011-01-01,year,3,251-500,"Dave Gausebeck, Matt Bell, Mike Beebe",6,"122,043",,,
PubNub,https://www.crunchbase.com/organization/pubnub,"PubNub is a secure global Data Stream Network (DSN) and easy-to-use API that enables our customers to connect, scale, and manage real-time applications and IoT devices. With over 70 SDKs for every platform, 250ms worldwide data transfer times, and scalability for hundreds of millions of devices, PubNub’s unique infrastructure gives the ability to easily connect and operate real-time applications and IoT devices.  PubNub is headquartered in San Francisco.","Apps, Cloud Computing, Developer APIs, Internet of Things, Mobile, Real Time, Software, Web Development",https://www.pubnub.com,"San Francisco, California, United States",PubNub Data Stream Network is a secure global Data Stream Network that enables mobile and web developers to build and scale real-time apps.,"5,283","7,608,011","5,438,680.5",2.89%,22.91%,896,3.1,-1.68%,46.69%,-4.23%,"21,616","1,520",7.56%,"San Francisco Bay Area, West Coast, Western US",Active,2010-08-01,day,2,101-250,"Stephen Blum, Todd Greene",,,854364,USD,854364
Humanity,https://www.crunchbase.com/organization/humanity,"Humanity is a computer software company that provides software for businesses designed for employee scheduling. It offers SaaS and can be deployed as a stand-alone solution in the cloud, integrated, and HCM platforms. The company was founded in 2010 and headquartered in San Francisco, California.","Cloud Computing, Information Technology, Software",http://www.humanity.com,"San Francisco, California, United States",Humanity is a computer software company that provides software designed for employee scheduling.,"20,643","7,528,440","7,256,137.17",15.37%,-9.75%,"1,240",1.99,13.08%,57.63%,-10.23%,"21,969","-2,690",-10.91%,"San Francisco Bay Area, West Coast, Western US",Active,2010-04-03,day,1,101-250,Ryan Paul Fyfe,1,,,,
Submittable,https://www.crunchbase.com/organization/submishmash,"Submittable helps thousands of organizations worldwide collect and review any type of content in one easy-to-use platform. It was launched by three creatives, a writer, a filmmaker, and a musician, who wanted to simplify the process of submitting their work. Today, Submittable is a cloud-based submission management platform that makes it easy to accept, review, and make decisions on any kind of digital content online. Submittable has collected more than 10 million submissions from thousands of customers worldwide and is backed by True Ventures, Next Frontier Capital, The Knight Foundation, StartFund, 77Ventures, Y Combinator, and a few other amazing investors. The platform mission is to make a crappy process better for as many people as possible. Submittable was founded in 2010 and is headquartered in Missoula, Montana, USA, and with an office in New York.","Cloud Computing, Consulting, Enterprise Software, Publishing, SaaS, Software",http://www.submittable.com,"Missoula, Montana, United States",Submittable helps thousands of organizations worldwide collect and review any type of content in one easy-to-use platform.,"3,747","4,144,285","3,524,271.5",23.43%,8.71%,412,2.99,4.22%,39.74%,2.77%,"35,891","-2,934",-7.56%,Western US,Active,2010-01-01,year,3,101-250,"Bruce Tribbensee, John Brownell, Michael FitzGerald",2,,97759,USD,97759
PagerDuty,https://www.crunchbase.com/organization/pagerduty,"PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.  Their SaaS-based solution empowers over 10,000 small, mid-size, and enterprise global customers such as Comcast, eHarmony, Slack, and Lululemon with the insight to intelligently respond to critical disruptions for exceptional customer experience. PagerDuty was founded to deliver a new and innovative approach to increase business response and efficiency. When brand reputation depends on customer satisfaction, PagerDuty arms businesses with the insight to proactively manage incidents and events that may impact customers across their IT environment.","Cloud Computing, Information Technology, IT Management, SaaS, Software",http://www.pagerduty.com,"San Francisco, California, United States",PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.,712,"4,143,809","3,279,672.67",79.52%,-5.19%,"1,097",4.14,-9.79%,40.26%,5.59%,"36,558","-20,078",-35.45%,"San Francisco Bay Area, West Coast, Western US",Active,2009-02-01,day,3,501-1000,"Alex Solomon, Andrew Miklas, Baskar Puvanathasan",,,30765052,USD,30765052
Armslist.com,https://www.crunchbase.com/organization/armslist-com,"ARMSLIST is a free local classified site for listing hand guns, pistols, rifles, shotguns, ammunition, archery, and hunting equipment. We created this site to allow people to find buyers and sellers in their local community and not have to pay fees to list their stuff. We wanted the site to be simple, easy to use, and non-intrusive, but specifically for buying, selling, and trading guns! ARMSLIST became active in January of 2009. ARMSLIST was created by a number of gun owning and gun loving Americans after seeing firsthand how the popular marketplace sites on the Internet shun firearms. We appreciate all the help and support that everyone has given us and hope for continued success of the site! ARMSLIST is currently running on the ASP.NET MVC 3 Framework and MySQL server. ARMSLIST is hosted in the cloud on an Amazon Elastic Cloud Computing instance.","Cloud Computing, E-Commerce, Hunting",http://www.armslist.com,"Waupun, Wisconsin, United States","Armslist.com is the largest private firearms marketplace online, and serves as a free classifieds online, for the firearms community.","122,515","3,173,819","2,847,425.83",-4.52%,-28.86%,811,7.47,-6.36%,32.83%,12.09%,"45,332","2,222",5.15%,"Great Lakes, Midwestern US",Active,2009-01-01,year,2,11-50,"Brian Mancini, Jonathan Gibbon",,,,,
Dashlane,https://www.crunchbase.com/organization/dashlane,"Dashlane is an award-winning app that lets you access and share business and personal passwords anytime, anywhere. The app works across every major operating system and browser — so every user can enjoy a simpler, safer internet. Our team in Paris, New York, and Lisbon is united by our passion for improving the digital experience and the belief that with the right tools, we can help everyone simplify their online lives. Dashlane has empowered over 15 million users and 20,000 businesses in 180 countries to enjoy a faster, simpler, and more secure internet.","Cloud Computing, Identity Management, Payments, Privacy, Security, Software",http://www.dashlane.com,"New York, New York, United States","Dashlane is an app that lets access and shares business and personal passwords anytime, anywhere.",551,"2,911,724","2,066,773.67",21.82%,18.67%,572,1.74,6.77%,67.69%,-2.15%,"48,454","-6,650",-12.07%,"Greater New York Area, East Coast, Northeastern US",Active,2009-07-06,day,5,251-500,"Alexis Fogel, Bernard Liautaud, Emmanuel Schalit, Guillaume Maron, Jean Guillou",2,"82,452",1006489,USD,1006489
Mapbox,https://www.crunchbase.com/organization/mapbox,"Mapbox is the leading real-time location platform for a new generation of location-aware businesses. Mapbox is the only platform that equips organizations with the full set of tools to power the navigation of people, packages, and vehicles everywhere. More than 3.5 million registered developers have chosen Mapbox because of the platform’s flexibility, security and privacy compliance. Organizations use Mapbox applications, data, SDKs and APIs to create customized and immersive experiences that delight their customers.","Automotive, Business Intelligence, Cloud Computing, Data Visualization, Enterprise Software, Location Based Services, Mapping Services, Open Source, SaaS",http://www.mapbox.com,"Washington, District of Columbia, United States","Mapbox is a location data platform for mobile and web applications powering navigation for people, packages, and vehicles everywhere.","1,607","2,370,654","2,060,263.33",7.94%,7.54%,371,2.95,15.52%,53.87%,5.63%,"55,494","1,142",2.1%,"Washington DC Metro Area, Southern US",Active,2010-01-01,year,5,501-1000,"Alex Barth, Bonnie Bogle, Eric Gundersen, Will White, Young Hahn",11,"147,517",2144864,USD,2144864
CircleCI,https://www.crunchbase.com/organization/circle-ci,"CircleCI’s continuous integration and delivery platform that helps software teams rapidly release code with confidence by automating the build, test, and deploy process. It lets teams ramp quickly, scale easily, and build confidently every day. Velocity is critical for software teams in today's competitive landscape, but maintaining speed can be difficult as apps and systems grow larger and more complex. CircleCI enables developers to detect and fix bugs before they even reach customers. Thousands of leading companies including Facebook, Kickstarter, Shyp, and Spotify rely on CircleCI to accelerate the delivery of their code and enable developers to focus on creating business value fast. CircleCI is a Bay Area Best Places to Work 2018 award winner from the San Francisco Business Times and Silicon Valley Business Journal. Founded in 2011 and headquartered in beautiful downtown San Francisco with a global remote workforce, CircleCI is venture-backed by Scale Venture Partners, DFJ, Baseline Ventures, and Harrison Metal Capital.","Cloud Computing, Developer Tools, Information Technology, PaaS, Productivity Tools, SaaS, Software",https://circleci.com,"San Francisco, California, United States",CircleCI is a continuous integration and delivery platform that automates development workflows and IT operations.,"14,937","2,234,549","2,424,478.17",-7.49%,3.69%,"1,012",2.64,6.23%,56.41%,2.9%,"58,055","7,325",14.44%,"San Francisco Bay Area, West Coast, Western US",Active,2011-01-01,year,2,501-1000,"Allen Rohner, Paul Biggar",,,,,
