Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Weathercloud,https://www.crunchbase.com/organization/weathercloud,,"Apps, Cloud Computing, Cloud Data Services, Data Integration, Data Visualization, Database, Internet, Mapping Services, Social Network, Software",https://weathercloud.net,"Barcelona, Catalonia, Spain",Weathercloud is a global network of weather stations sharing data in real time.,"277,160","13,081,400","5,647,267",606.89%,4.11%,810,2.2,-14.83%,45.63%,-11.71%,"13,124","-54,077",-80.47%,European Union (EU),Active,2014-02-28,day,1,1-10,Marc Arazo,,,,,
OpenWeather,https://www.crunchbase.com/organization/openweathermap,"OpenWeather is a team of IT experts and data scientists that has been practising deep weather data science since 2014. For each point on the globe, OpenWeather provides historical, current and forecasted weather data via light-speed APIs. Headquarters in London, UK.   As of 2020, OpenWeather Ltd has more than 2.6 million customers and supports 2,500 new subscribers per day. This includes Fortune 500 companies and thousands of other businesses globally.","Agriculture, Analytics, Artificial Intelligence, Big Data, Cloud Computing, Crowdsourcing, Farming, Internet of Things, Machine Learning, Satellite Communication, Software, Web Development",https://openweathermap.org/,"London, England, United Kingdom","OpenWeather is a tech company with strong expertise in Big Data technologies, Environmental data science and Remote sensing.","194,415","5,640,898","4,749,865.83",-7.96%,8.27%,550,1.79,-0.9%,79.96%,0.82%,"27,884","4,358",18.52%,,Active,2014-06-01,day,2,11-50,"Denn Ukolov, Olga Ukolova",,,,,
Shadow,https://www.crunchbase.com/organization/shadow-3,"Shadow is a high-performance cloud-based computer that has an automated hardware evolution. Extreme power, non-existent latency, exceptional display quality, Shadow offers a perfect and ultimate experience. With its automated hardware evolution, the user will never again need to buy a computer. Its first product, Shadow, is a high-performance PC based entirely in the cloud. The company hires a team of passionate, highly skilled developers, as well as experts in business, law, marketing and distribution, and gaming. Shadow was founded on 2015 and is based in Paris, France.","Cloud Computing, Cloud Data Services, Computer, Gaming, Hardware, Mobile, Software",https://shadow.tech/,"Paris, Ile-de-France, France",Shadow is a high-performance cloud-based computer that has an automated hardware evolution.,"50,533","1,788,970","1,740,658.17",-28.87%,10.96%,395,3.81,18.38%,40.41%,-2.77%,"70,812","17,837",33.67%,European Union (EU),Active,2015-01-01,year,3,101-250,"Asher Kagan, Emmanuel Freund, Stéphane Heliot",3,910,43762,USD,43762
avvoka,https://www.crunchbase.com/organization/avvoka,"Avvoka is a cloud platform that enables businesses to create, generate, track, e-sign, and store their standard-form legal contracts online. The company creates bespoke questionnaires for standard-form agreements that businesses no longer need to collate information from counterparties to create a binding electronic contract. It also allows its users to tag data points within contracts that enables the production of customized data reports on market trends in the preceding period. The data reporting tools enables businesses to determine whether the contracts they generate comply with the terms of their debt facilities or other internal risk profiles. The sectors that company works with are asset financing, banking, employment, property, and wealth management. Avvoka is a U.K.-based company that was founded in 2015 by Eliot Benzecrit and David Howorth.","Analytics, Cloud Computing, Information Services, Legal, Legal Tech, SaaS, Software",http://www.avvoka.com,"London, England, United Kingdom","Avvoka enables businesses to automatically generate, track, e-sign, and store their standard-form legal contracts online.","59,941","1,709,775","1,775,129.5",-55.37%,-37.06%,"1,666",8.98,-0.68%,17.38%,-46.83%,"73,325","35,128",91.97%,,Active,2015-08-12,day,3,1-10,"Adam Benzecrit, David Howorth, Eliot Benzecrit",,,,,
CodeNOW,https://www.crunchbase.com/organization/stratox,,"Banking, Cloud Computing, Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Private Cloud, SaaS, Software, Web Development",https://www.codenow.com,"Prague, Hlavni mesto Praha, Czech Republic","CodeNOW is a software platform as a service, enabling businesses to deliver multi and hybrid cloud software faster – cost-efficient.","40,967","949,540","186,558.33",817.06%,-23.42%,"2,844",22.52,44.78%,18.01%,-27.23%,"110,206","-376,816",-77.37%,European Union (EU),Active,2018-01-01,year,,51-100,,,,,,
GFN.RU,https://www.crunchbase.com/organization/gnf-ru,,"Cloud Computing, Cloud Data Services, Gaming",https://gfn.ru,"Moscow, Moscow City, Russian Federation","GFN.RU is NVIDIA GeForceNow Alliance Partner in Russia, Ukraine, Belarus, Armenia Azerbaijan, Kazakhstan, Uzbekistan, Moldova and Georgia","74,980","940,459","602,101.17",68.83%,-26.11%,365,2.56,-15.94%,57.71%,19.48%,"114,939","-48,572",-29.71%,,Active,2019-07-04,day,,11-50,,,,,,
Alien6,https://www.crunchbase.com/organization/alien6,"Specialists in the adoption of Artificial Intelligence – AI Enablement, we partner with COOs and CTOs to develop and implement new value propositions, in line with all Structural, Economic and Technological imperatives that IT department must face.","Artificial Intelligence, Cloud Computing, Consulting, Software",http://www.alien6.com,"Enghien-les-bains, Ile-de-France, France",Alien6 is a consultancy and software editor,"587,565","693,497",,158.7%,4.03%,"4,495",13.8,-53.3%,22.45%,18.66%,"138,712","-117,425",-45.84%,European Union (EU),Active,2016-01-04,day,1,1-10,Ludovic FERNANDEZ,,,,,
Current-RMS Ltd.,https://www.crunchbase.com/organization/current-rms-ltd,"Current-RMS Ltd. supplies cloud based, fully integrated rental management solutions to the AV, production and event industries. Current RMS has been developed with extensive industry and technical knowledge where innovation and the service we provide is at the heart of everything we do.","Cloud Computing, Rental, Software",https://current-rms.com,"Nottingham, Nottingham, United Kingdom","Current-RMS Ltd. supplies cloud based, fully integrated rental management solutions.","414,018","637,064","464,423.5",103.2%,12.68%,"3,564",36.53,39.42%,10.53%,-21.65%,"153,083","-89,952",-37.01%,,Active,2014-01-01,year,,,,,,,,
Happeo,https://www.crunchbase.com/organization/universe-2c51,"Happeo is the trusted solution to information chaos, helping companies to move fast while staying in control.  350+ market-leading companies like Doctolib, Pinterest, and Marqeta use Happeo as their intranet to connect their teams with the knowledge, news, and tools they need to do their best work, together.","Cloud Computing, Google, Human Resources, Online Portals, Software",https://www.happeo.com,"Helsinki, Southern Finland, Finland","Happeo is the ultimate solution to information chaos, helping companies to move fast while staying in control.","8,634","419,453","324,165.5",96.73%,-52.52%,330,1.89,23.55%,50.58%,-19.57%,"198,374","-101,271",-33.8%,"European Union (EU), Nordic Countries, Scandinavia",Active,2017-01-01,year,3,101-250,"Antero Hanhirova, Perttu Ojansuu, Vesa Sironen",,,,,
Komm,https://www.crunchbase.com/organization/komm,,"Artificial Intelligence, Cloud Computing, Consulting",https://www.komm.one,"Stuttgart, Baden-Wurttemberg, Germany","Komm specializes in artificial intelligence, consulting, security, cloud computing, and funding management services.","736,652","304,607","346,824.17",-19.01%,137.22%,"1,058",4.73,-6.41%,45.71%,42.93%,"247,929","45,629",22.56%,European Union (EU),Active,2018-01-01,year,,1001-5000,,,,,,
iNNOVO Cloud,https://www.crunchbase.com/organization/innovo-cloud-gmbh,"German Edge Cloud (GEC) is a company that specializes in cutting-edge cloud and edge technologies. GEC's solutions make data in networked environments accessible quickly, conveniently, and securely, assist process optimization in the manufacturing industry, for example, through data analytics, and provide customers with complete data sovereignty whether connecting to the public or private cloud. They integrate and manage hybrid private edge cloud infrastructures, ranging from Infrastructure as a Service (IaaS) and Platform as a Service (PaaS) to industry-specific software in the Software as a Service paradigm (SaaS). Their services include edge computing, cloud computing, industrial automation, networking, industry 4.0, and digital transformation.","Cloud Computing, Cloud Data Services, Industrial Automation, Information Technology, SaaS, Software",https://innovo-cloud.de,"Eschborn, Hessen, Germany",iNNOVO Cloud is a cloud-based IT and service organization.,"235,710","253,280","1,465,785.5",-81.29%,-53.03%,"1,760",13.25,-47.56%,25%,87.55%,"292,317","207,480",244.56%,European Union (EU),Active,2018-01-01,year,,11-50,,,,,,
B2B Wave,https://www.crunchbase.com/organization/b2bwave,"Cloud based Wholesale B2B shop management. Create and run your wholesale B2B shop instantly. Add your products and invite your partners to place their orders online. B2BWave includes all the special wholesale requirements like custom prices per customer, shop privacy and customer price groups.","Cloud Computing, E-Commerce, Internet, SaaS, Software, Wholesale",https://www.b2bwave.com,"London, England, United Kingdom",Cloud based wholesale B2B ordering solution. Instantly create and run your wholesale B2B ordering portal & integrate with our APIs.,"217,555","236,113","102,860",27.83%,-10.08%,705,5.19,1.79%,17.36%,-14.19%,"306,618","-43,030",-12.31%,,Active,2016-02-23,day,3,1-10,"Alex Seimanidis, Dominic Liakopoulos, Giannis Pagonas",,,,,
ArvanCloud,https://www.crunchbase.com/organization/arvancloud,"ArvanCloud is a Cloud Services Provider, offering a wide range of incorporated cloud services including CDN, DDoS mitigation, Cloud Managed DNS, Cloud Security, VoD/AoD Streaming, Live Streaming, Cloud Compute, Cloud Object Storage, and PaaS.","Cloud Computing, Cloud Security, Cloud Storage, Content Delivery Network, Network Security, PaaS, Video Advertising, Video on Demand, Video Streaming",https://www.arvancloud.com,"Meerbusch, Nordrhein-Westfalen, Germany","ArvanCloud is a Cloud Services Provider, offering CDN, Cloud DNS, Cloud Security, Cloud server, VoD/Live Streaming, PaaS and Object Storage.","172,137","234,014","323,943.17",-39.16%,-14.34%,663,4.66,-10.35%,36.42%,47.99%,"297,563","98,384",49.39%,European Union (EU),Active,2019-01-01,year,2,1-10,"Farhad Fatemi, Pouya Pirhosseinloo",,,,,
Brainboard,https://www.crunchbase.com/organization/brainboard,"Visually build & manage cloud infrastructures. Empower collaboration, enforce security and accelerate automation.","Cloud Computing, Cloud Infrastructure, Cloud Management, Information Technology, SaaS, Software",https://www.brainboard.co,"Paris, Ile-de-France, France","Draw.io + Git + Terraform. Visually build & manage cloud infrastructures. Empower collaboration, enforce security and accelerate automation.","19,976","225,772","64,300.67",257.3%,6.3%,"4,708",54.39,18.75%,13.45%,-50.33%,"316,060","-402,985",-56.04%,European Union (EU),Active,2019-10-04,day,2,1-10,"Chafik Belhaoues, Jeremy Albinet",,,,,
