Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Weathercloud,https://www.crunchbase.com/organization/weathercloud,,"Apps, Cloud Computing, Cloud Data Services, Data Integration, Data Visualization, Database, Internet, Mapping Services, Social Network, Software",https://weathercloud.net,"Barcelona, Catalonia, Spain",Weathercloud is a global network of weather stations sharing data in real time.,"277,160","13,081,400","5,647,267",606.89%,4.11%,810,2.2,-14.83%,45.63%,-11.71%,"13,124","-54,077",-80.47%,European Union (EU),Active,2014-02-28,day,1,1-10,Marc Arazo,,,,,
BUSYMOUSE,https://www.crunchbase.com/organization/busymouse,,"Cloud Computing, Cloud Data Services, Information Technology",https://busymouse.de,"Hanover, Niedersachsen, Germany",BUSYMOUSE offers cloud solutions for system houses and IT service providers.,"1,027,010","8,841,630","3,769,287",53.85%,-42.12%,632,2.4,4.27%,22.86%,-13.47%,"18,998","-8,450",-30.79%,European Union (EU),Active,2011-01-01,year,,11-50,,,,,,
4shared,https://www.crunchbase.com/organization/4shared,"4shared is an online storage and file hosting Web service owned by New IT Solutions Ltd. 4shared allows users to store their text, audio, video, photo, and other files and share them, if they wish, with other people.  It is known for Search Service which gives anyone, including unregistered visitors, opportunity to browse through files shared by other 4shared members.  4shared is the official trademark of pmstation.com","Cloud Data Services, File Sharing, Flash Storage, Web Hosting",http://www.4shared.com,"Torton, Worcestershire, United Kingdom","4shared is an online storage and file hosting web service to upload, store and download music, videos, photographs and other content.","194,351","8,462,648","9,648,538.5",-38.61%,-30.47%,689,6.05,-65.53%,39.43%,18.27%,"19,743","8,359",73.43%,,Active,2011-06-06,day,1,501-1000,Alex Lunkov,,,,,
Integromat,https://www.crunchbase.com/organization/integromat-2,"Integromat is an integration and automation service offering unique features. Here is a short overview: * Automations can be very complex. You can automate an unlimited number of consecutive actions, not just 1:1 (if this:then that). Each action has at its disposal data returned by previous actions. This allows you to automate your entire workflow, not just one part. * Integromat gives you the possibility to use built-in routers to duplicate any incoming data. Using routers, you can divide your scenario into multiple routes and process data separately in each route. More information can be found here: http://intm.at/b/4  * Integromat supports dynamically created inputs and outputs. Thanks to this feature you can, for example, call remote database procedures and map their input and output variables. It’s a function that you won't find anywhere else. * Built-in feeders are special modules that can split incoming data into multiple parts and then process each part separately. For example, if you receive an email with multiple attachments, you can handle each attachment separately. * Aggregators, on the other hand, allow to merge individual data into a single bundle. We can, for example, create a ZIP archive of files contained in a specific folder and then save it or send it anywhere. More information on feeders and aggregators can be found here: http://intm.at/b/3  * We can work with files as if they were binary data. Therefore we do not need to know the path to a folder. This lets you, for example, transform images or work with file content as with a text. * Another unique feature is the possibility to schedule webhooks. With Integromat you can, for example, make an automation that will gather text messages received on your mobile phone during a day and then at midnight select a winner. Standard webhooks are of course also supported. * We support serialization and deserialization of JSON documents and give you the possibility to work with your data in any way. Nested objects or fields are no problem for us. * Thanks to the transaction processing of data, Integromat is able to complete an entire automation as scheduled. In case of error, Integromat reverts all changes and restores the initial state. In short, it will either perform all actions as scheduled or nothing. * Integromat stores incomplete runs (DLQ). If an automation encounters an error, we will save its state. This ensures that no data are lost. You can then fix the issue and continue executing from where it was stopped. * Perfect visualization of everything you do. From possibility to watch how your automation is being executed to visualization of data flow in the Execution history. Currently, we support 110 services (https://www.integromat.com/en/integrations) and thanks to the integrated support for the most widely used databases (MySQL, MS SQL, PostgreSQL) Integromat offers almost unlimited possibilities for automation. We continuously expand our list of supported services.","Cloud Computing, Cloud Data Services, Data Integration, SaaS, Software",https://www.integromat.com,"Prague, Hlavni mesto Praha, Czech Republic",Integromat is a software developer of workflow automation applications.,"95,015","6,064,770","2,367,551.5",547.85%,-48.03%,461,6.82,29.36%,29.13%,-24.47%,"26,580","-84,821",-76.14%,European Union (EU),Active,2012-01-01,year,6,11-50,"Michal Toman, Ondřej Gazda, Patrik Šimek, Pavel Duras, Roman Bršlica, Tomáš Schel",2,36,,,
pCloud,https://www.crunchbase.com/organization/pcloud,"Based in Switzerland, they are a young forward-thinking team doing their  best to make a significant impact on the rapidly growing IT market. At pCloud, they're providing the world with a comprehensive easy-to-use cloud storage solution for individuals and businesses alike. Their approach incorporates the technical point-of-view with the end user in mind. Other cloud services are either too technical and are not user-friendly, or they are not comprehensive enough for users to get everything they want out of cloud storage. This is why they founded pCloud in 2013 to combine thjeir strong IT skills with the vibrant creativity of their growing team to create a cloud storage solution that works seamlessly for both individuals and businesses. ","Cloud Computing, Cloud Data Services, Cloud Storage, Cyber Security, Software",https://www.pcloud.com,"Baar, Zug, Switzerland",pCloud is a provides cloud storage solutions for personal and business consumers.,"22,989","4,284,416","3,507,671.33",2.39%,-6.94%,603,2.26,-0.3%,52.75%,2.51%,"35,628",31,0.09%,,Active,2013-09-13,day,1,11-50,Tunio Zafer,4,"66,968",,,
Shadow,https://www.crunchbase.com/organization/shadow-3,"Shadow is a high-performance cloud-based computer that has an automated hardware evolution. Extreme power, non-existent latency, exceptional display quality, Shadow offers a perfect and ultimate experience. With its automated hardware evolution, the user will never again need to buy a computer. Its first product, Shadow, is a high-performance PC based entirely in the cloud. The company hires a team of passionate, highly skilled developers, as well as experts in business, law, marketing and distribution, and gaming. Shadow was founded on 2015 and is based in Paris, France.","Cloud Computing, Cloud Data Services, Computer, Gaming, Hardware, Mobile, Software",https://shadow.tech/,"Paris, Ile-de-France, France",Shadow is a high-performance cloud-based computer that has an automated hardware evolution.,"50,533","1,788,970","1,740,658.17",-28.87%,10.96%,395,3.81,18.38%,40.41%,-2.77%,"70,812","17,837",33.67%,European Union (EU),Active,2015-01-01,year,3,101-250,"Asher Kagan, Emmanuel Freund, Stéphane Heliot",3,910,43762,USD,43762
Dataddo,https://www.crunchbase.com/organization/dataddo-com,"Dataddo is a cloud-based, no-code data integration, automation, and transformation platform designed to work with almost any online data service such as Google Analytics, Facebook, and Salesforce. Dataddo can transform and load your data to a wide range of databases, data warehouses, cloud storages, dashboarding, and BI applications, allowing smooth interoperability with existing IT and BI stacks. Dataddo delivers flexibility in the expanding and increasingly diverse data analytics ecosystem.","Analytics, Big Data, Cloud Data Services, Data Integration, Data Mining, Data Visualization, Internet of Things",https://www.dataddo.com,"Prague, Hlavni mesto Praha, Czech Republic","Cloud-based, no-code data integration platform.","16,309","1,310,794","537,866.67",167.46%,101.63%,"3,958",9.16,104.22%,17.86%,-0.11%,"86,983","-80,830",-48.17%,European Union (EU),Active,2016-01-01,year,3,11-50,"Joel Thom, Petr Nemeth, Zdenek Pecha",,,,,
Fatture in Cloud,https://www.crunchbase.com/organization/fatture-in-cloud,"Fatture in Cloud offers small businesses, startups, freelancers, and professionals with a cloud solution that is able to store and manage invoices and quotes. It enables its users to access their billing documents through their phones, tablets, and PCs and obtain analytics about its businesses productivity. Fatture in Cloud enables its users to upload invoices by optical scanning, images, and PDFs and send them through emails. It also provides notifications about deadlines. Fatture in Cloud was acquired by TeamSystem in September 2015. Fatture in Cloud was founded by Daniele Ratti in November 2013. It is based in Pesaro, Italy.","Cloud Data Services, Enterprise, Enterprise Applications, SaaS",https://www.fattureincloud.it,"Pesaro, Marche, Italy",Easy-to-use invoicing platform in the cloud for Italian small enterprises.,"224,152","1,087,746","1,763,551.33",-55.87%,10.31%,888,3.12,8.47%,42.8%,-4.1%,"99,811","50,314",101.65%,European Union (EU),Active,2013-11-18,day,1,1-10,Daniele Ratti,3,"5,599",,,
Bitrix 24,https://www.crunchbase.com/organization/bitrix-24,,"Cloud Data Services, CRM, Project Management, Software",http://www.bitrix24.ua,"Kyiv, Kyyiv, Ukraine","Britrix24 offers webinars, cloud services, desktop applications, tasks and projects, and CRM.","172,030","985,658","1,725,740.17",-33.41%,103.55%,"1,661",4.03,57.17%,60.54%,-20.11%,"107,189","33,368",45.2%,,Active,2012-01-01,day,4,1-10,"Alexey Sidorenko, Dmitry Valyanov, Sergey Rizhikov, Vadim Dumbravanu",,,,,
KeyCDN,https://www.crunchbase.com/organization/keycdn,"KeyCDN is a high-performance Content Delivery Network (CDN) and is one of the most affordable content delivery service on the market. Our CDN allows you to instantly accelerate your content. We engineered our own architecture to achieve best performance. KeyCDN is not based on a federated CDN or any other reselling CDN. We work together with various infrastructure partners in order to optimize processes and keep a lean organization. All these factors give us the flexibility to offer best prices. Our approach is, to expand into any region where performance and pricing is excellent. We take the challenge to expand into regions where low-cost content delivery was typically not yet available. KeyCDN is independent and privately funded.","Cloud Data Services, Content Delivery Network, Web Hosting",https://www.keycdn.com,"Ermatingen, Thurgau, Switzerland",KeyCDN is a high-performance Content Delivery Network (CDN) and is one of the most affordable content delivery service on the market.,"239,042","981,805","1,348,237",0.01%,-29.45%,297,2.71,6.24%,51.85%,-16.96%,"107,485","6,624",6.57%,,Active,2012-01-01,year,2,11-50,"Jonas Krummenacher, Sven Baumgartner",,,,,
