Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
MediaFire,https://www.crunchbase.com/organization/mediafire,"MediaFire is a cloud storage service that helps people store, organize, and share data via the Internet. MediaFire offers free, secure, and unlimited cloud storage so users can store and share data with their customers, colleagues, friends, and family. Every month, more than 150 million people use MediaFire to store and share their files and media online. MediaFire's Professional and Business plans offer users additional functionality, like company branding tools, analytics, and multi-seat employee accounts. MediaFire was founded in August 2006 by a group of website enthusiasts and entrepreneurs who were frustrated by the troublesome process of sharing large files over e-mail and FTP. They created MediaFire to provide the world with the simplest file hosting service for sharing files and images over the internet and launched the first version in October of 2006. MediaFire is the only file sharing site to offer unlimited downloads, unlimited uploads, unlimited storage, download resuming, zero wait times, and more, all for free.","Cloud Data Services, Collaboration, File Sharing, Flash Storage",http://www.mediafire.com,"Conroe, Texas, United States","MediaFire is a cloud storage service helping people store, organize, and share data via the internet.","175,814","577,843,738","459,799,167.17",16.14%,-5.29%,394,2.23,-0.13%,45.81%,-2.12%,112,-22,-16.42%,"Greater Houston Area, Southern US",Active,2006-10-01,day,4,51-100,"Derek Labian, Sharon Fanning, Todd Faulk, Tom Langridge",2,"203,100",37459,USD,37459
Datadog,https://www.crunchbase.com/organization/datadog,"Datadog is an essential monitoring platform for cloud applications. It brings together data from servers, containers, databases, and third-party services to make your stack entirely observable. These capabilities help DevOps teams avoid downtime, resolve performance issues, and ensure customers are getting the best user experience.","Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Productivity Tools, SaaS",https://www.datadoghq.com,"New York, New York, United States",Datadog offers monitoring and analytics for cloud-based workflows.,450,"33,278,807","35,617,981.33",-12.3%,13.1%,"1,062",1.85,21.42%,73.31%,-1.62%,"4,898",868,21.54%,"Greater New York Area, East Coast, Northeastern US",Active,2010-01-01,year,2,1001-5000,"Alexis Le-Quoc, Olivier Pomel",,,86935805,USD,86935805
ID.me,https://www.crunchbase.com/organization/id-me,"ID.me simplifies how individuals prove and share their identities online. The ID.me secure digital identity network has more than 72 million members with over 145,000 new subscribers joining daily,  including 29 states, 10 federal agencies, and over 500 retail brands. The company provides identity proofing, authentication, and group affiliation verification for organizations across sectors. ID.me technology meets the federal standards and the company is approved as a NIST 800-63-3 IAL2 / AAL2 conformant credential service provider by the Kantara Initiative. ID.me is the only provider with video chat and is committed to “No Identity Left Behind” to enable all people to have a secure digital identity.","Cloud Data Services, Cyber Security, Fraud Detection, Identity Management, Privacy, Software",https://www.ID.me,"Mclean, Virginia, United States",ID.me is a digital identity network that aims to simplify the user's indication verification experience.,"31,863","30,954,203","39,627,862.83",7.32%,5.33%,316,4.61,-1.89%,27.14%,6.93%,"5,322",8,0.15%,"Washington DC Metro Area, East Coast, Southern US",Active,2010-01-01,year,3,1001-5000,"Blake Hall, Matthew Thompson, Tanel Suurhans",,,2073852,USD,2073852
Kochava,https://www.crunchbase.com/organization/kochava,"Kochava Inc. is a provider of secure, real-time data solutions. We help customers establish identity, define and activate audiences, and measure and optimize all aspects of their marketing. Kochava provides enterprise brands with a consolidated Unified Audience Platform including data management and onboarding, cross-device configurable attribution, analytics, engagement, industry-leading fraud protection, and data enrichment. With a culture of customer-driven service and innovation, dedication to data security, and the most powerful tools in the ecosystem, Kochava is trusted by top brands to harness their data for growth.","Analytics, App Marketing, Cloud Data Services, Mobile, Mobile Advertising",http://www.Kochava.com,"Sandpoint, Idaho, United States","Kochava is a provider of secure, real-time data solutions for mobile and connected devices.","50,524","22,697,067","19,016,118",129.53%,31.4%,544,1.32,-7.59%,79.27%,22.67%,"7,480","-7,987",-51.64%,Western US,Active,2011-10-01,day,1,101-250,Charles Manning,4,0,108591,USD,108591
Formstack,https://www.crunchbase.com/organization/formstack,"Formstack is a secure workplace productivity platform built to produce ingenious solutions to the everyday work that slows organizations down. From eliminating paper forms to breaking digital silos, Formstack empowers anyone to quickly and easily build custom forms, create documents, and collect eSignatures—all without code. Launched in 2006, Formstack is trusted by over 25,000 organizations worldwide—including Cleveland Clinic, NHL, Netflix, Twitter, and Butler University—to digitize what matters, automate workflows, and fix processes. To learn more, visit www.formstack.com.","Cloud Data Services, Document Preparation, Education, Enterprise Software, Lead Generation, Mobile, Productivity Tools, SaaS, Small and Medium Businesses, Software",https://www.formstack.com,"Fishers, Indiana, United States","Formstack is a workplace productivity platform helps organizations digitize, automate workflows, and fix processes—all without code.","3,277","18,462,238","17,474,601.67",12.79%,5.98%,496,1.6,5.8%,70.93%,-3.25%,"9,401",-261,-2.7%,"Great Lakes, Midwestern US",Active,2006-02-28,day,1,251-500,Ade Olonoh,6,33,,,
Prezi,https://www.crunchbase.com/organization/prezi,"Prezi is an interactive cloud-based presentation platform that helps users connect with their audience. Prezi's latest offering, Prezi Next, is a full-lifecycle presentation platform so everyone can easily create visually stunning presentations, deliver them in a more natural and conversational way, and analyze their effectiveness. It was founded in 2008 and headquartered in San Francisco, California.","Analytics, Cloud Data Services, Presentations, SaaS, Software",https://prezi.com,"San Francisco, California, United States",Prezi is an interactive cloud-based presentation platform that helps users connect with their audience.,"4,154","16,550,603","20,757,870",13.22%,20%,654,1.83,-2.67%,70.27%,1.59%,"10,546",-232,-2.15%,"San Francisco Bay Area, West Coast, Western US",Active,2008-01-01,year,3,251-500,"Adam Somlai Fischer, Peter Arvai, Peter Halacsy",3,"52,248",904983,USD,904983
PDFFiller,https://www.crunchbase.com/organization/pdffiller,"PDFfiller is a document management platform that allows users to edit, sign, store, and share documents via any web browser or mobile device. History The PDFfiller platform was originally created in 2007 by Vadim Yasinovsky as a personal tool for a friend who needed to digitally fill a form and wasn’t happy with the services available at the time, particularly the requirement to download and install expensive, specialized software. Over the next few years, the application was given to friends, family, and acquaintances by request, and quickly grew in popularity. As the user base of PDFfiller grew, so did feature requests from its users, and it became apparent that the initial problem Yasinovsky set out to solve affected more than just friends and family. The platform quickly grew from being a simple solution for a few people into a full-fledged company, and PDFfiller was officially incorporated in 2009. As of 2014, PDFfiller has employees in 7 countries around the world, working in product development, engineering, marketing, operations, and 24/7/365 technical support. How It Works  PDFfiller allows users to add documents in PDF, Microsoft Word, Microsoft Powerpoint, or Notepad formats by uploading from a local disk, importing from Dropbox or Google Drive, by emailing their unique PDFfiller email address, or by using the platform’s document search engine containing over 10 million fillable forms.  PDFfiller’s editing tools include: add text, highlight, erase, redact, check or circle items, add shapes, add images, add notes, draw freehand, and add signature. Signatures are powered by the company’s DigiSign technology, and can be added by typing, uploading, photographing with a webcam,  or signing with a mouse, trackpad, or on a mobile device screen. The platform’s document management features also allows users to reorganize, merge or delete document pages. Once completed, documents can be saved locally to a computer, emailed (standard or secure), printed, or eFaxed. The service also offers a share feature with which up to 5 users can collaborate on a document, and a SendToSign feature that allows users to request up digital signatures, which are verified by the company. In 2014, PDFfiller introduced Inbound Fax, an add on service that allows users to claim their own fax number and receive faxed documents directly into their account.  Since its founding, PDFfiller’s user base has expanded 100 fold, 20 fold in the last two years, and averages 2 million users annually with 20,000 forms filled per day. The service’s capabilities have grown from simply allowing users to add text and signatures to offering two dozen editing and sharing features, including the ability to highlight and redact text, add images, and collaborate with multiple users. Despite its growth, the PDFfiller is still focused on solving singular document editing problems for individuals, and strives to save users time and money through powerfully simple features that offer freedom from software and access to documents anywhere, anytime, from any device.","Apps, Cloud Data Services, Developer Tools, Document Management, SaaS, Software",http://www.pdffiller.com,"Brookline Village, Massachusetts, United States","Edit, sign, store, and share documents via any web browser or mobile device with PDFfiller","126,727","15,399,347","17,151,109.67",-15.41%,12.91%,516,3.29,11.48%,45.49%,-7.93%,"11,313","2,642",30.47%,"Greater Boston Area, East Coast, New England",Active,2007-01-01,year,3,51-100,"Boris Shakhnovich, Semyon Dukach, Vadim Yasinovsky",3,,,,
EcoRebates,https://www.crunchbase.com/organization/ecorebates,"EcoRebates is the leading provider of on-line incentive and rebate tools for energy efficient products and green home solutions.  The company provides its tools to retailers and manufacturers enabling them to drive sales by providing local-search optimized rebates and incentives at the SKU and zip code level, to potential buyers of these products in stores and online.  Clients include leading retailers, distributors, manufacturers and utilities i.e., Sears, Best Buy, Home Depot, Lowes, HH Gregg, Whirlpool, GE Appliances, Xcel Energy and the California Energy Commission","Big Data, Cloud Data Services, E-Commerce, Retail",http://ecorebates.com,"Menlo Park, California, United States","SKU-based offer aggregation, management and digital fulfillment for leading brands and retailers","296,856","8,079,484","7,235,965",8.03%,14.07%,689,1.56,0.31%,69.62%,-2.12%,"20,504",633,3.19%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2009-01-01,year,2,11-50,"Brett Battles, Nikita Tovstoles",,,4458,USD,4458
Wyng,https://www.crunchbase.com/organization/wyng,"Wyng is a privacy-first personalization platform for brands, powered by a zero-party data API and privacy by design principles. Wyng makes it easy for marketers to deliver customer experiences that are always welcome, relevant, and compliant. More than 250 brands and enterprises use Wyng to build direct, trusted relationships with their customers.","Analytics, Cloud Data Services, CRM, Digital Marketing, E-Commerce Platforms, Information Technology, Marketing Automation, Personalization, Privacy, SaaS",http://www.wyng.com,"New York, New York, United States",Wyng is a privacy-first personalization platform for brands powered by a zero-party data API and privacy by design principles.,"11,657","6,130,109","5,327,507.33",6.12%,-19.51%,132,2.4,-11.51%,34.02%,44.4%,"26,319","-1,011",-3.7%,"Greater New York Area, East Coast, Northeastern US",Active,2010-01-01,year,4,101-250,"Allen Bonde, Mark Cooper, Prakash Mishra, Wendell Lansford",,,92763,USD,92763
Cloudinary,https://www.crunchbase.com/organization/cloudinary,"Cloudinary empowers the world’s top brands to deliver visual-first experiences that engage and convert. Founded in 2012 and with offices in the US, UK and Israel, Cloudinary’s cloud-based solutions for image and video management and digital asset management (DAM) harness AI-based technologies to remove traditional media management pain-points and allow brands to focus on delivering optimal digital experiences faster, no matter where their customers are engaging. Cloudinary has nearly 30 billion assets under management and 5,500 customers worldwide, including Apartment Therapy, Bleacher Report, Conde Nast, DoorDash, Forbes, HelloFresh, Hinge, Lululemon Athletica, NTT Resonant, Procter & Gamble, StubHub, trivago, Under Armour, Walmart Labs and more. For more information and to begin your Cloudinary experience, visit www.cloudinary.com.","Cloud Data Services, Digital Marketing, Digital Media, Information Technology, SaaS",https://cloudinary.com,"Santa Clara, California, United States",Cloudinary empowers companies to deliver visual experiences that inspire and connect by unleashing the full potential of their media.,"3,174","5,854,705","4,700,333.5",21.25%,25.25%,992,2.02,-13.17%,64.2%,10.46%,"27,385","-4,293",-13.55%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2011-05-01,day,3,251-500,"Itai Lahan, Nadav Soferman, Tal Lev-Ami",,,,,
