Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Zoho,https://www.crunchbase.com/organization/zoho,"Zoho offers a suite of business, collaboration, and productivity applications. The company offers over 30 online applications from CRM to mail, office suite, project management, invoicing, email marketing, social media management, and more. The suite comprises Zoho Writer, Zoho CRM, Zoho Sheet, Zoho Show, Zoho Projects, Zoho Meeting, Zoho Creator, Zoho Docs, Zoho Invoice, Zoho People, Zoho Mail, Zoho Assist, Zoho Reports, Zoho Recruit, Zoho Support, Zoho Books, Zoho Bug Tracker, Zoho Campaigns, Zoho Sites, Zoho Connect, and more. Zoho was founded in 1996 by Sridhar Vembu and is based in Pleasanton, California.","Cloud Computing, Collaboration, Developer Tools, Enterprise Software, Information Services, Information Technology, Network Security, Project Management, Software, Web Apps",https://www.zoho.com,"Pleasanton, California, United States","Zoho offers a suite of business, collaboration, and productivity applications.","73,515","39,042,616","45,803,350.83",5.63%,27.15%,"1,288",4.16,32.16%,46.65%,-5.11%,"4,085",-67,-1.61%,"San Francisco Bay Area, West Coast, Western US",Active,1996-03-17,day,1,10001+,Sridhar Vembu,2,,,,
Sefaira,https://www.crunchbase.com/organization/sefaira,"Sefaira is the leader in software for high-performance building design. Following years of innovation in the application of cloud computing for building design, Sefaira was the first company to introduce real-time design performance analysis to the benefit of architects, engineers and other building designers. With Sefaira, users can analyze and compare multiple design strategies within a fraction of the time and cost previously required. This includes defining, quantifying, and optimizing the energy, daylighting, water, carbon and financial benefits of relevant design strategies. Sefaira's Real-Time Analysis plugins provide constant feedback on both energy & daylighting metrics as architects work. This frees users to test unlimited design options without worrying about the time or cost of analysis. Sefaira’s Web Apps for architecture and systems are built for comparative and parametric analysis. Cloud computing enables multiple parallel runs with no reduction in speed -- letting you explore options quickly and home in on the best solutions. Sefaira Architecture makes it easy to understand how a design is performing, and helps users connect the dots between geometry, energy use, daylight performance and potential improvements. Sefaira Systems produces high-quality HVAC sizing and energy results directly from architectural Revit and SketchUp models, enabling users to rapidly compare design options and respond to architectural changes. Sefaira’s awards include 2014 Architizer A+ Award, 2014 Architosh AIA Best of Show Award and being included in the 2014 Global Cleantech 100. Sefaira also won Gold at the 2013 Ecosummit award in Berlin as well as the “Green Building Innovation of the Year” award at London’s Ecobuild 2011. It was included in the Red Herring Top 100 Europe list in 2013 and Going Green Global Top 200 private companies in 2012. Sefaira has offices in London and New York.","Cloud Computing, Energy, Renewable Energy, SaaS, Software",https://www.sketchup.com,"Westminster, Colorado, United States",Sefaira is the leader in software for high-performance building design,"50,579","12,481,690","13,119,183.67",7.51%,30.94%,804,3.77,15.97%,50.49%,0.58%,"13,810",426,3.18%,"Greater Denver Area, Western US",Active,2000-01-01,year,2,51-100,"Mads Jensen, Peter Krebs",,,,,
NetSuite,https://www.crunchbase.com/organization/netsuite,"NetSuite is cloud computing company dedicated to delivering business applications over the internet. It provides a suite of cloud-based financials / Enterprise Resource Planning (ERP), HR and omnichannel commerce software that runs the business of companies in more than 100 countries. The company was founded 1998 and is based in San Mateo, California.","Cloud Computing, CRM, iOS, SaaS, Software",http://www.netsuite.com,"Redwood Shores, California, United States",NetSuite is cloud computing company dedicated to delivering business applications over the internet.,"37,306","9,921,363","11,017,417.5",18.23%,-3.28%,"2,239",16.46,-9.92%,26.19%,7.64%,"17,040",-906,-5.05%,"San Francisco Bay Area, West Coast, Western US",Active,1998-01-01,year,1,1001-5000,Evan Goldberg,,,,,
AdvancedMD,https://www.crunchbase.com/organization/advancedmd,"AdvancedMD is a healthcare technology company that offers cloud medical office software to ambulatory medical practices. It supports independent physicians and their staff with a comprehensive suite of solutions including practice management, electronic health records, telemedicine, patient relationship management, business analytics reporting, and physician-performance benchmarking. AdvancedMD offers a flexible outsourced billing option for practices looking to use a third-party billing company. Founded in 1999, AdvancedMD serves an expansive national footprint of more than 22,500 practitioners across 8,000 practices and 600 medical billing companies. It is based in  South Jordan, Utah.","Cloud Computing, Health Care, Software",http://www.advancedmd.com/,"South Jordan, Utah, United States",AdvancedMD is a healthcare technology company that offers cloud medical office software to ambulatory medical practices.,"124,538","5,362,225","4,636,037.67",15.05%,18.55%,914,3.63,20.39%,53.01%,-1.8%,"29,491","-3,064",-9.41%,Western US,Active,1999-01-01,year,,101-250,,,,,,
Rackspace,https://www.crunchbase.com/organization/rackspace,"Rackspace provides hybrid cloud-based services that enable businesses to run their workload in a public or private cloud. Rackspace’s engineers deliver specialized expertise on top of leading technologies developed by OpenStack, Microsoft, VMware, and others through a service known as Fanatical Support. It has more than 300,000 customers worldwide including two-thirds of FORTUNE 100 companies. Rackspace was named a leader in the 2015 Gartner Magic Quadrant for Cloud-Enabled Managed Hosting and has been honored as one of Fortune’s Best Companies to Work For. Rackspace was founded in 1998 and is based in San Antonio, Texas.","Big Data, Cloud Computing, Cloud Infrastructure, IaaS",https://www.rackspace.com,"San Antonio, Texas, United States",Rackspace provides hybrid cloud-based services that enable businesses to run their workload in a public or private cloud.,"53,065","5,077,467","4,594,003.83",73.76%,6.63%,611,4.24,10.72%,23.75%,-20.73%,"30,881","-16,275",-34.51%,Southern US,Active,1998-01-01,year,4,1001-5000,"Dirk Elmendorf, Graham Weston, Pat Condon, Richard Yoo",,,,,
DreamHost,https://www.crunchbase.com/organization/dreamhost,"DreamHost provides domain registration, web hosting and cloud services to 1.5 million sites, blogs and applications, and supports over 400,000 web designers, developers, content creators, small businesses and entrepreneurs with the power of the Open Web.","Cloud Computing, Cloud Data Services, Internet, Software, Web Hosting",http://www.dreamhost.com,"Los Angeles, California, United States","DreamHost provides web hosting, domain registration, and cloud services for individuals, small businesses, and developers.","18,229","3,508,054","3,012,432.83",33.02%,0.65%,771,4.67,5.35%,39.03%,-9.42%,"41,802","-9,384",-18.33%,"Greater Los Angeles Area, West Coast, Western US",Active,1997-09-22,day,4,501-1000,"Dallas Kashuba, Josh Jones, Michael Rodriguez, Sage Weil",,,50436,USD,50436
SpeedRFP,https://www.crunchbase.com/organization/speedrfp,,"Cloud Computing, Software",https://www.speedrfp.com/,"Mclean, Virginia, United States","SpeedRFP is the fastest, most efficient cloud-based electronic RFP management system for facilitating group business.","1,027,868","3,093,817","2,993,795.33",-14.07%,-14.68%,703,1.23,2.36%,83.4%,-1.92%,"46,191","6,015",14.97%,"Washington DC Metro Area, East Coast, Southern US",Active,2000-01-01,year,,11-50,,,,,,
Parallels,https://www.crunchbase.com/organization/parallels,"Parallels develops cross-platform virtualization and automation solutions which allow users to access applications, files, and computers in one place on any device or operating system. It offers businesses and individuals with solutions built for Mac, Windows, iOS, AndroidTM, and the cloud. The company’s products include Parallels Desktop for Mac, Parallels Desktop for Mac Business Edition, Parallels 2X Remote Application Server (2X RAS), Parallels Access, Parallels Transporter, and Parallels Mac Management for Microsoft System Center Configuration Manager (SCCM). Parallels was founded in 2000 and is based in Renton, Washington.","Cloud Computing, Consumer, Software, Virtualization",http://www.parallels.com,"Renton, Washington, United States","Parallels develops cross-platform virtualization and automation solutions which allow users to access applications, files, and computers.","30,339","2,180,288","2,132,743.83",-21.03%,-0.26%,388,2.2,-8.57%,59.97%,6.24%,"60,788","11,477",23.27%,"Greater Seattle Area, West Coast, Western US",Active,1999-01-01,year,5,251-500,"Aleksey Kandikov, Ilya Zubarev, Juri Tsibrovski, Oleg Melnikov, Serg Bell",3,688,,,
Liveops,https://www.crunchbase.com/organization/liveops,"Liveops offers an on-demand skilled workforce of onshore virtual agents for customer service and sales. With no call center overhead or wasted idle time, our pay-per-use model scales to meet seasonal or time of day spikes in demand. More than 400 organizations across service industries including retail, healthcare, insurance and telecom trust Liveops to deliver an enterprise-grade workforce, with faster program readiness, increased revenue, and greater customer satisfaction scores than traditional call centers.","Cloud Computing, Crowdsourcing, Enterprise Software, Virtual Workforce",https://www.liveops.com,"Scottsdale, Arizona, United States","Liveops is a recognized pioneer in the gig economy, cloud-based contact center & customer service solutions including work-at-home agents.","79,761","2,162,290","1,063,274.67",119.55%,-54.83%,383,2.11,-38.16%,55.15%,13.5%,"61,160","-46,098",-42.98%,"Greater Phoenix Area, Western US",Active,2000-01-01,year,4,101-250,"Bill Trenchard, Douglas Feirstein, Lloyd Tabb, Wendell Brown",,,3464360,USD,3464360
Boomi,https://www.crunchbase.com/organization/boomi,"Boomi is the market-leading provider of on-demand integration technology and the creator of AtomSphere, the industry's first integration platform-as-a-service. AtomSphere connects providers and consumers of SaaS applications via a pure SaaS integration platform that does not require software or appliances. ISVs and businesses alike benefit by connecting to the industry's largest network of SaaS, PaaS, on-premise and cloud computing environments in a seamless and fully self-service model. Leading SaaS players such as salesforce.com, NetSuite, Intuit, Centive, Taleo, and Zuora rely on AtomSphere to accelerate time to market, increase sales, and eliminate the headaches associated with integration.","Cloud Computing, Enterprise Software, SaaS",http://www.boomi.com,"Berwyn, Pennsylvania, United States",Boomi provides cloud integration solutions via a SaaS-based platform for providers to stay connected with their consumers.,"47,729","1,503,715","997,607.5",199.89%,-24.16%,"1,089",3.15,-14.08%,47.87%,-4.39%,"80,889","-94,085",-53.77%,"Greater Philadelphia Area, Great Lakes, Northeastern US",Active,2000-03-01,day,1,1001-5000,Rick Nucci,,,,,
