Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Google Spain,https://www.crunchbase.com/organization/google-spain,,"Advertising, Cloud Data Services, Internet, Search Engine",http://www.google.es/,"Madrid, Madrid, Spain","Google specializes in Internet-related services and products, including online advertising technology, search engines and cloud computing.","192,075","193,130,871","156,944,254.5",21.82%,1.06%,"1,053",3.91,-1.49%,34.31%,1.15%,523,-208,-28.45%,European Union (EU),Active,2003-01-01,day,,101-250,,,,,,
WeTransfer,https://www.crunchbase.com/organization/wetransfer,"WeTransfer offers a way to send files around the world through its platform. Every month, users in 195 countries send one billion files through its platform. WeTransfer was founded in 2009 and is based in the Netherlands and the US. The company's mission is to enable the effortless transfer of ideas from one creative mind to many.","Cloud Data Services, File Sharing, Internet",http://www.wetransfer.com,"Amsterdam, Noord-Holland, The Netherlands",WeTransfer offers a way to send files around the world through its platform.,"32,607","146,706,912","130,039,086.5",14.06%,-2.92%,631,2.36,-4%,56.56%,3.38%,742,-225,-23.27%,European Union (EU),Active,2009-12-01,day,5,101-250,"Bas Beerens, Damian Bradfield, Nal den, Rinke Visser, Ronald Hans",,"389,622",,,
Bouygues Telecom,https://www.crunchbase.com/organization/bouygues-telecom-us-office,"As a full-service electronic communications operator on the french market (mobile, fixed, TV, Internet and cloud computing), Bouygues Telecom stands out for its innovative products and services and award-winning customer relations serving its 11.1 million mobile and 2.1 million fixed broadband customers, which include more than 1.5 million professional and corporate clients and 1.9 million B&YOU clients. After inventing the mobile talk-plan concept in France in 1996, Bouygues Telecom has always been a pioneer in innovation: it introduced the first unlimited call plans with Millennium (1999) and Neo (2006); in 2007, it launched the first fixed-mobile convergence offer for corporate customers; in 2009, it invented the “all-in-one” solution with ideo, the first quadruple play offer in the market; and, as early as July 2011, it invented mobile telephony 2.0 with B&YOU, the first SIM-only Web-Only offer. In June 2012, Bouygues Telecom launched Bbox Sensation, its new range of routers packed with the most innovative technologies on the market that will transform the digital home experience and in November 2013, the Box Internet by B&YOU, a double-play which democratizes the access to Internet. In January 2014, Bouygues Telecom and SFR conclude a strategic agreement to share a part of their mobile access networks: it will enable both operators to provide their respective customers better coverage, better quality of service, and to generate significant savings. Its mobile network covers 99% of the French population with 2G, 96% with 3G+ and 60% with H+. Bouygues Telecom is also deploying a nationwide 4G network covering already 70% of the French population, bringing access to 4G to 43 million people in France. Each day, the company’s 9, 049 employees develop solutions aligned with changing customer needs. 2,000 customer relations advisers, a distribution network driven by their 2,500 sales advisers - and its websites combine to ensure optimum customer service on a daily basis. www.bouyguestelecom.fr","Cloud Data Services, Internet, ISP, Mobile, Telecommunications",http://www.bouyguestelecom.fr,"Meudon, Ile-de-France, France","Bouygues Telecom is a French mobile phone, Internet service provider and IPTV company","10,549","19,042,227","13,774,057",38.06%,11.07%,582,3.38,7.05%,46.46%,-4.15%,"8,859","-3,730",-29.63%,European Union (EU),Active,1996-01-01,year,1,5001-10000,Frederic Rombaut,37,"325,021",,,
OVHcloud,https://www.crunchbase.com/organization/ovh-com,"OVH.com is an independent French company that offers web, dedicated, and cloud hosting solutions. The company’s service portfolio includes dedicated servers, mutual hosting, domain names, and VOIP telephony services for businesses and technophiles.  OVH.com was founded by Octave Klaba in 1999 and is based in France.","Cloud Data Services, Cloud Infrastructure, Data Center, Data Storage, Web Hosting",https://www.ovhcloud.com,"Paris, Ile-de-France, France","OVHcloud is an independent French company that offers web, dedicated, and cloud hosting solutions.","4,234","3,673,750","3,281,274.5",1.1%,53.27%,843,2.53,26.84%,61.57%,-3.02%,"40,336",486,1.22%,European Union (EU),Active,1999-01-01,year,1,1001-5000,Octave Klaba,,,,,
Tamigo,https://www.crunchbase.com/organization/tamigo,"Tamigo – your global Workforce Management Solution in the Cloud. Since 2006, Tamigo has been a vital business partner for small to medium-sized companies as well as international enterprises – mainly within retail and hospitality. Together with our customers, we revolutionize Workforce Management through smart processes, new insights and unique alignment on improving future performance. Get ahead by optimizing operations and staff management, increase sales, reduce labor costs, automate workflows and empower your employees through effective communication. At Tamigo, we make workforce management smarter. With headquarters in the heart of Copenhagen and franchisees in many parts of Europe, we work to make life easier for tens of thousands of people every day.","Cloud Data Services, Human Resources, Information Technology, Management Information Systems, SaaS, Software",https://www.tamigo.com/,"Copenhagen, Hovedstaden, Denmark","Tamigo revolutionizes workforce management through smart processes, new insights, and unique alignment on improving future performance.","39,940","3,084,496","1,460,983.33",265.47%,-32.54%,199,2.85,-23.79%,7.86%,-39.16%,"46,304","-73,776",-61.44%,"European Union (EU), Nordic Countries, Scandinavia",Active,2006-01-01,year,1,101-250,Jakob Toftgaard,,,,,
Telerik,https://www.crunchbase.com/organization/telerik,"Telerik empowers its customers to create compelling app experiences across any screen. Our end-to-end platform uniquely combines industry-leading UI tools with cloud services to simplify the entire app development lifecycle. Telerik tools and services can be adopted individually or as a platform and seamlessly integrated with other popular developer solutions. More than 130,000 customers from 40,000 organizations in 94 countries depend on Telerik products, including more than 450 of the Fortune 500®, academic institutions, governments and non-profits.","Cloud Data Services, Developer Tools, Mobile, SaaS, Software",http://www.telerik.com,"Sofia, Grad Sofiya, Bulgaria","More than 1,000,000 developers depend on Telerik to create compelling app experiences across any screen.","161,625","2,322,163","2,472,324",-4.33%,-0.72%,548,2.52,-0.47%,62.58%,1.07%,"56,405","6,330",12.64%,European Union (EU),Active,2002-01-01,year,3,501-1000,"Boyko Iaramov, Hristo Kosev, Vassil Terziev",2,,,,
Quinyx AB,https://www.crunchbase.com/organization/quinyx-ab,"Quinyx is the market leader in the Scandinavian region when it comes to Workforce Management. Workforce Management is a resource-intensive task that is prominent in most companies. Quinyx's web-based system provides support for scheduling, time reporting, task management, budgeting and forecasting. We are driven by the belief that management of staff can be made much more efficient and fun!","Cloud Data Services, SaaS, Software, Task Management",http://quinyx.com,"Stockholm, Stockholms Lan, Sweden",Quinyx AB is a web-based system that provides workforce management support for scheduling and time reporting.,"5,398","2,190,027","1,365,548.67",-40.34%,86.42%,302,1.24,1.99%,83.35%,3.36%,"58,985","22,980",63.82%,"European Union (EU), Nordic Countries, Scandinavia",Active,2005-01-01,year,3,101-250,"Andreas Sjolund, Carl Geijer, Erik Fjellborg",2,"38,705",,,
Acronis,https://www.crunchbase.com/organization/acronis,"Acronis is a cybersecurity company that solves safety, accessibility, privacy, authenticity, and security obstacles with efficient and secure backup, security, disaster recovery, and enterprise file sync and share solutions that work in hybrid cloud environments. The company protects all data, applications, and systems, such as physical, virtual, cloud, and mobile workloads with its award-winning AI-based active protection technology, blockchain-based data authentication, and unique hybrid-cloud architecture. Acronis was established in 2003 by Serg Bell in Schaffhausen, Switzerland.","Cloud Data Services, Cloud Security, Cyber Security, Software",http://www.acronis.com,"Schaffhausen, Schaffhausen, Switzerland","Acronis is a cybersecurity company that solves safety, accessibility, privacy, authenticity, and security challenges.","16,772","2,032,657","1,963,635.33",19.72%,-29.11%,816,3.11,-21.53%,50.68%,-1.42%,"64,180","-7,381",-10.31%,,Active,2003-01-01,year,4,1001-5000,"Juri Tsibrovski, Serg Bell, Stanislav Protassov, Yakov Zubarev",12,"2,564",5220612,USD,5220612
Számlázz.hu,https://www.crunchbase.com/organization/számlázz-hu,"Számlázz.hu offers servcies on invoicing, online invoicing, e-invoice, cloud invoicing, fintech, online invoicing, and SaaS.","Cloud Data Services, Cloud Management, SaaS, Software",https://www.szamlazz.hu/szamla/main,"Budapest, Budapest, Hungary",Számlázz.hu is a online billing and invoicing software market.,"645,494","1,979,960","1,444,482.83",37.94%,50.54%,840,6.1,13.99%,33.16%,-9.55%,"63,807","-12,085",-15.92%,European Union (EU),Active,2005-01-01,year,,11-50,,,,,,
TecAlliance,https://www.crunchbase.com/organization/tecalliance,,"Cloud Data Services, Product Management, Supply Chain Management",http://www.tecalliance.net,"Ismaning, Bayern, Germany","TecAlliance is a digital solution firm that offers supply chain, e-business, data, and product management services.","199,067","1,439,963","1,487,485.83",66.65%,58.27%,"1,961",2.48,20.6%,62.16%,2.79%,"81,063","-30,104",-27.08%,European Union (EU),Active,1994-01-01,day,,501-1000,,44,"34,840",4002837,USD,4002837
