Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Wipro Technologies,https://www.crunchbase.com/organization/wipro,"Wipro is a global information technology, consulting, and outsourcing company with a 160,000+ workforce serving clients in 175+ cities across 6 continents. The company posted revenues of $7.6 billion for the financial year ended Mar 31, 2015.  Wipro helps customers do business better by leveraging Wipro industry-wide experience, deep technology expertise, comprehensive portfolio of services and vertically aligned business model. Wipro's 55+ dedicated emerging technologies ‘Centers of Excellence’ enable them to harness the latest technology for delivering business capability to our clients.  Wipro is globally recognized for its innovative approach towards delivering business value and its commitment to sustainability. Wipro champions optimized utilization of natural resources, capital and talent. Today Wipro is a trusted partner of choice for global businesses looking to ‘differentiate at the front’ and ‘standardize at the core’ through technology interventions. In today’s world, organizations will have to rapidly reengineer themselves and be more responsive to changing customer needs. Wipro is well positioned to be a partner and co-innovator to businesses in their transformation journey, identify new growth opportunities and facilitate their foray into new sectors and markets.  Wipro Technologies, a division of Wipro Limited (NYSE:WIT) is is an Indian multinational provider of Information Technology services, Consulting and Business Process Outsourcing. It is the first PCMM Level 5 and SEI CMM Level 5 certified global IT services organization and has a worldwide presence with global centers across 54 countries. Wipro Technologies was recently assessed at Level 5 for CMMI V 1.2 across offshore and onsite development centers.","Cloud Data Services, Consulting, Enterprise Software, Information Services, Information Technology, Mobile, Outsourcing, Software",http://www.wipro.com,"Bengaluru, Karnataka, India","Wipro is a global information technology, consulting and business process services company.","2,341","2,500,268","3,164,335",-20.13%,-16.25%,464,2.99,-1.96%,41.54%,-7.38%,"53,210","12,315",30.11%,Asia-Pacific (APAC),Active,1945-01-01,year,4,10001+,"Ashok Narasimhan, Azim H Premji, Azim Premji, Mohamed Premji",,,,,
Miosalon,https://www.crunchbase.com/organization/miosalon,"MioSalon is an online Salon & Spa Management Software, enables salon owners to automate the front-desk operation & daily activities such as Appointment Scheduling, Online Booking, Billing, tracking Clients, Staffs, Inventory Management, SMS & Email Marketing and Dynamic Customer Feedback System.","Cloud Data Services, Information Services, Information Technology, Software",https://www.miosalon.com/,"Chennai, Tamil Nadu, India",Free Forever - All in one Salon & Spa Software. No Credit Card required.,"277,053","985,189","681,640.83",942.34%,378.59%,"4,738",3.96,82.72%,32.27%,19.74%,"110,945","-439,520",-79.85%,Asia-Pacific (APAC),Active,2017-01-01,year,1,11-50,Santhana Selvam,,,,,
Quadsel Systems,https://www.crunchbase.com/organization/quadsel-systems,"Quadsel Systems operates multiple locations across India and is a global technology services company. They help businesses and consumer products to set up networks and manage IT infrastructure needs. As part of our strategy for the future, they have partnered with various startup to fortune 1000 companies.","Cloud Data Services, Database, Information Technology, Network Security, Security",https://www.quadsel.in/,"Guindy, Tamil Nadu, India","Quadsel Systems is an information technology firm that offers network services, remote infrastructure management, and security services.","697,690","329,654","60,871.67","3,176.23%",-16.59%,432,2.96,196.15%,23.08%,-76.92%,"234,848","-1,840,331",-88.68%,Asia-Pacific (APAC),Active,1996-01-01,year,1,11-50,Girish Madhavan,,,,,
TO THE NEW Pvt. Ltd.,https://www.crunchbase.com/organization/to-the-new,"TO THE NEW is a digital technology company providing digital transformation and product engineering services to ISVs, Consumer Internet, and large enterprises across the globe. We design & build digital platforms and products with Cloud and Data at the focal point.    TO THE NEW is amongst the fastest-growing technology companies globally with a CAGR of 50% since 2017. Established in 2008, our passionate team of 1500+ “Newers” is spread across delivery centres in New Delhi, Dubai, and New Jersey. TO THE NEW has been a consistent winner of the “Great Place to Work” award since 2015 and ranked #47 in the top 100 companies in India to work for in 2019.","Cloud Data Services, Cloud Management, Consumer Software, Digital Marketing, Mobile Apps, Quality Assurance, Software, Software Engineering, UX Design, Web Development",http://www.tothenew.com,"Noida, Uttar Pradesh, India",TO THE NEW is a premium digital technology company that provides end-to-end product engineering services.,"78,841","202,576","134,941.67",68.14%,24.27%,"1,019",4.41,50.78%,39.31%,-30.56%,"340,350","-126,921",-27.16%,Asia-Pacific (APAC),Active,2008-01-01,year,4,1001-5000,"Deepak Mittal, Narinder Kumar, Raman Mittal, Satya Sharma",,,,,
Exotel,https://www.crunchbase.com/organization/exotel,"Exotel is the emerging market’s leading AI-powered cloud customer engagement platform. Incorporated in 2011, Exotel’s world-class cloud-based product suite powers 25 million calls daily simplifying customer engagement for over 6000 companies in India, SE Asia, the Middle East, and Africa. Today, some of the fastest-growing companies in the emerging markets (Ola, Swiggy, Flipkart, GoJek, Byju’s, Urban Company, HDFC Bank, Zomato, Oyo, etc.,), manage their customer engagement with Exotel’s omnichannel contact center (saas) and a suite of voice and messaging APIs over the cloud.","Cloud Data Services, CRM, Machine Learning, Messaging, Mobile Apps, SaaS, Software, Speech Recognition, Video Chat",https://exotel.com,"Bangalore, Karnataka, India","Exotel is a SaaS company with full stack customer engagement, including contact center software, communications API, and conversational AI.","2,217","176,276","320,515.33",-54.68%,11.19%,"1,123",3.03,-4.76%,49.66%,0.16%,"361,309","163,695",82.84%,Asia-Pacific (APAC),Active,2011-01-01,year,4,251-500,"Ishwar Sridharan, Shivakumar Ganesan, Siddharth Ramesh, Vijay Sharma",,,,,
Deskera,https://www.crunchbase.com/organization/deskera,"Deskera Cloud ERP is a fully integrated Cloud ERP Suite designed to run your business on the cloud. Its solutions allow SMEs to track finances, manage customers, and hire and manage employees. Their modules include Enterprise Resource Planning, Customer Relationship Management, Manufacture Resource Planning, Project Management, and Human Capital Management.","Accounting, Cloud Data Services, CRM, Enterprise Resource Planning (ERP), Enterprise Software, Human Resources, Project Management, Software",https://deskera.in,"New Delhi, Delhi, India","Deskera is a cloud-based accounting software that provides finance, inventory, CRM, and payroll solutions.","2,442","172,260","204,623.67",-44.15%,78.49%,448,1.63,16.81%,76.64%,-12.46%,"366,625","134,191",57.73%,Asia-Pacific (APAC),Active,2008-01-01,year,4,51-100,"Brajesh Sachan, Paritosh Mahana, Shashank Dixit, Somesh Misra",16,398,,,
Evosys,https://www.crunchbase.com/organization/evosys,"Evosys, an Oracle Platinum Partner with 10 years' experience, focuses exclusively on Oracle Cloud implementation and consultancy to cater to the needs of a market which demands high-quality, future-proof solutions. One of the top, fastest-growing Oracle Cloud partners, with customers who have adopted all Oracle SaaS solutions including ERP, HCM, SCM, CRM, Hyperion (PBCS), BI and PaaS. They are a process-centric organization that believes in specialized solutions and have demonstrated an exceptional record in implementation for different verticals like Healthcare, Finance, Logistics, Manufacturing and Distribution across public and private sectors. Evosys is experiencing tremendous growth and is expanding its global operation. Already present in 18 countries including North America, Europe, the Middle East , Australia and Asia. To accommodate such fast-paced growth, Evosys have also expanded their capacity to execute over 280+ projects simultaneously with a dedicated Oracle Center of Excellence, host to over 850 experienced Oracle consultants.","Cloud Data Services, Information Technology",http://www.evosysglobal.com/,"Ahmedabad, Gujarat, India",Evosys is a leading Oracle Platinum Partner providing customer focussed solutions for all your enterprise resource planning needs.,"155,032","148,158","125,590",-69.38%,38.33%,"1,108",5.25,217.09%,41.25%,-38.17%,"420,672","241,291",134.51%,Asia-Pacific (APAC),Active,2006-01-01,year,2,501-1000,"Rakesh Raman, Umang Nahata",,,,,
47Billion Inc.,https://www.crunchbase.com/organization/47billion,"47Billion is a product engineering services company that specializes in end-to-end product development. We provide both Product Engineering and Product Implementation services . We specialize in Web, Mobile, data management, strategy and consulting, data migration, reporting, Analytics and Big Data design and Development Services. We have successfully deployed many projects in telecom, logistics, agriculture, ad-tech, tourism, education, healthcare, ERP for SMEs, IoT, and Digital signage and Kiosks.","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Cloud Data Services, Machine Learning, Mobile Apps, Software, UX Design",https://47billion.com/,"Indore, Madhya Pradesh, India","Big Data Analytics, AI/ML, RPA, UX/UI, Product Development","146,160","77,557","166,768.67",43.15%,-6.45%,"1,523",7.74,9.85%,33.77%,-5.17%,"648,471","-147,915",-18.57%,Asia-Pacific (APAC),Active,2012-09-10,day,2,101-250,"Amol Vaidya, Rajeev Dixit",,,,,
AlignBooks,https://www.crunchbase.com/organization/alignbooks,,"Accounting, Cloud Data Services, Financial Services, Software",https://alignbooks.com/,"New Delhi, Delhi, India","AlignBooks is cloud-based accounting software that offers sales, inventory management, online accounting, payroll, and financial services.","198,924","47,943","53,666.33",178.14%,457.89%,"1,696",1.99,-9.04%,57.14%,15.13%,"887,302","-729,090",-45.11%,Asia-Pacific (APAC),Active,2017-01-01,year,,11-50,,1,,,,
Appcino Technologies,https://www.crunchbase.com/organization/appcino-technologies,"Appcino Technologies offers services for BPM developments utilizing Appian BPM and Salesforce implementations. Its objective is to maximize the business value of a project, at the same time to reduce the costs. The company was founded in 2013 and is headquartered in Jaipur, Rajasthan.","Cloud Data Services, CRM, Information Technology",https://www.appcino.com/?doing_wp_cron=1570567369.2162799835205078125000,"Jaipur, Rajasthan, India",Appcino Technologies offers services for BPM developments utilizing Appian BPM and Salesforce implementations.,"171,364","46,656","9,289.33","2,519.65%","4,672.41%","4,152",12.01,443.88%,15.97%,-65.52%,"880,523","-4,014,959",-82.01%,Asia-Pacific (APAC),Active,2013-01-01,year,2,51-100,"Akhilesh Natani, Tarun Khatri",,,,,
