Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Instructure,https://www.crunchbase.com/organization/instructure,"Instructure is a technology company that is focused on providing cloud-based learning management software for educational institutions, companies and other organizations. Founded in 2008 by two computer science graduate students, Instructure set out to disrupt the complex legacy learning management system industry by creating Canvas - a simple, yet powerful software system that sets a new standard for open technology in education. Instructure’s Canvas Network has offered more than 300 courses from 150 institutional partners to date and was designed using feedback from instructional design groups at several universities including USC, UNLV, Berkeley, etc. A heavy emphasis was put on usability, with an effort to streamline the most common use cases for a learning management system. Canvas offers integration with other web services and provides simplified tools for grading and assessment. Instructure also works closely with Unizin, a new consortium led by four major institutions, including Indiana University, Colorado State University, University of Florida and University of Michigan. This consortium uses Canvas as its foundational platform for improving student outcomes. Instructure Inc. is based in Salt Lake City, Utah where the software is developed and supported on the east bench of the Wasatch Mountains.","Cloud Management, EdTech, Education, Information Technology, SaaS",http://www.instructure.com,"Salt Lake City, Utah, United States",Instructure is a learning technology company and the creator of the Canvas learning management system for K-12 and higher education.,"2,693","298,715,929","189,466,802.67",114.86%,10.95%,"1,165",7.04,13.77%,27.14%,-27.51%,281,-580,-67.36%,Western US,Active,2008-05-01,day,2,501-1000,"Brian Whitmer, Devlin Daley",19,"1,670,674",,,
DocuSign,https://www.crunchbase.com/organization/docusign,"DocuSign operates a cloud-based electronic signature platform that helps small- and medium-sized businesses, enterprises, and individuals collect information, automate data workflows, and sign on various devices. The company’s platform automates manual and paper-based processes that allow users to manage various aspects of documented business transactions, including identity management, authentication, digital signature, forms and data collection, collaboration, and workflow automation and storage. The company also provides training and support services. Its platform serves the sales, human resources, finance, information technology, operations, legal, marketing, facilities, support, product management, and procurement departments in the financial services, healthcare, technology, higher education, insurance, real estate, life sciences, and government sectors in the United States and internationally. DocuSign was incorporated in 2003 and is based in San Francisco, California with additional offices in London, Sydney, Sao Paulo, and Dublin.","Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",http://www.docusign.com,"San Francisco, California, United States","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.","2,328","36,602,184","39,844,024.67",1.7%,-0.45%,657,2.54,-1.96%,49.53%,0.88%,"4,373",117,2.75%,"San Francisco Bay Area, West Coast, Western US",Active,2003-01-01,year,2,1001-5000,"Court Lorenzini, Tom Gonser",6,"810,339",209327138,USD,209327138
ISCorp,https://www.crunchbase.com/organization/iscorp,"ISCorp is a provider of custom design, managed secure private cloud services.  ISCorp specializes in two principal business areas: private secure cloud solutions and colocation services.","Cloud Management, Information Services, Information Technology",https://www.iscorp.com,"Mequon, Wisconsin, United States",ISCorp provides managed secure private cloud services.,"483,339","12,101,511","8,565,315.17",17.26%,29.78%,"1,046",6.92,41.15%,29.08%,-30.46%,"14,183","-2,256",-13.72%,"Great Lakes, Midwestern US",Active,1987-01-01,year,1,11-50,Mike Weber,,,,,
Evidon,https://www.crunchbase.com/organization/evidon,"Evidon is a global technology company focused on simplifying the complex world of Digital Governance. As companies add more marketing and advertising technology to maximize the return on their digital investment, building consumer trust has become ever more important. Fulfilling this promise requires organizations to have a comprehensive approach to govern data collection across their sites, apps, and ads while staying in compliance with global regulations. The world’s leading brands rely on Evidon to empower their Digital Governance success across millions of web pages and apps that drive billions of online revenue.","Analytics, Cloud Management, Internet, Privacy",https://www.evidon.com/,"New York, New York, United States",Evidon is a New York City-based company dealing in enterprise marketing analytics and compliance services.,"264,074","7,153,219","6,046,757.33",4.01%,-25.61%,183,1.39,4.5%,72.85%,-6.49%,"22,804","1,496",7.02%,"Greater New York Area, East Coast, Northeastern US",Active,2009-01-01,year,5,1-10,"Colin O'Malley, David Cancel, Edward Kozek, Scott Meyer, Simeon Simeonov",,,,,
ServiceNow,https://www.crunchbase.com/organization/service-now-com,"ServiceNow provides cloud-based solutions that define, structure, manage, and automate services for enterprise operations in North America, Europe, the Middle East, Africa, the Asia Pacific, and other countries. The company offers service management solutions, including incident, problem, change, request, and cost management as well as service catalogs; and IT, HR, facilities, and field service management solutions. It also provides IT operations management solutions covering service mapping, delivery, and assurance solutions; business management solutions such as financial management, project portfolio suite, vendor performance management, and performance analytics as well as governance, risk, and compliance; and application development services. In addition, the company offers professional, educational, and customer support services. It sells its products through its direct sales team as well as indirectly through channel partners and third-party referrals. ServiceNow was founded in 2004 and is headquartered in Santa Clara, California, United States.","Cloud Management, Enterprise Software, SaaS, Software",http://www.servicenow.com/,"Santa Clara, California, United States","ServiceNow provides cloud-based solutions that define, structure, manage, and automate services for enterprise operations.","1,439","5,352,798","6,887,229.67",-27.8%,24.36%,822,3.05,7.01%,50.91%,5.29%,"29,166","9,195",46.04%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2004-01-01,year,1,5001-10000,Fred Luddy,34,"63,713",7041690,USD,7041690
Triple8 Network,https://www.crunchbase.com/organization/triple8-network,"Triple8 Network offers software programming and database design. Their services include spam filtering, email archiving, cloud storage, anti-virus filtering, group chat, website migration, file storage, server management, server maintenance, website maintenance, website programming, and database programming services.","Cloud Management, Consulting, Information Technology, Web Hosting",https://www.triple8.net,"El Segundo, California, United States","Triple8 Network is a webhosting company that provides email hosting, IT consulting, and managed services.","1,251,942","4,013,527","698,880.67","31,019.85%",-92.87%,92,4.68,81.79%,12.53%,-81.19%,"37,518","-1,846,306",-98.01%,"Greater Los Angeles Area, West Coast, Western US",Active,1992-01-01,year,,1-10,,,,,,
Union Impact,https://www.crunchbase.com/organization/union-impact,Union Impact is the provider of cloud-based union management software. Union Impact has been providing upgrades to unions they come a long way and are now grateful for the chance to serve almost half a million union members every month. The development team enables us to create customized solutions and integrations in a timely and efficient manner.,"Cloud Management, Management Consulting, Software, Software Engineering",https://unionimpact.com,"Seattle, Washington, United States",Union Impact is provides cloud based union administration systems.,"735,943","3,073,341","774,539.33","2,752.24%",-17.01%,405,2.99,19.48%,10.8%,-72.23%,"46,447","-457,640",-90.79%,"Greater Seattle Area, West Coast, Western US",Active,2006-01-01,year,,51-100,,,,,,
SecurityTrax,https://www.crunchbase.com/organization/securitytrax,,"Cloud Management, Information Technology, Smart Home, Software",https://www.securitytrax.com/,"Vienna, Virginia, United States",SecurityTrax is a cloud-based platform custom built for the security and connected home industries.,"362,786","3,069,092","811,599.67",516.58%,58.24%,"2,774",3.61,-83.1%,42.71%,97.27%,"46,554","-132,436",-73.99%,"Washington DC Metro Area, East Coast, Southern US",Active,2004-01-01,day,,11-50,,,,,,
Cloud.com,https://www.crunchbase.com/organization/cloud-com,"Cloud.com is a venture-backed startup based out of Cupertino that develops an open source cloud orchestration software product for the implementation of public and private cloud computing environments. Their software, CloudStack, is designed to make it easier for Service Providers and Enterprises to build, manage and deploy IaaS offerings similar to Amazon EC2 and S3. CloudStack is available in three editions: the Enterprise Edition, the Service Provider Edition and the open-source Community Edition. The company changed its name from VMOps to Cloud.com on May 4th, 2010 when it emerged from stealth mode.","Cloud Computing, Cloud Management, Enterprise Software, IaaS, Private Cloud, Software",http://www.cloud.com,"Cupertino, California, United States",Cloud.com develops an open source cloud orchestration software product for the implementation of cloud computing environments.,"139,823","2,987,397","2,700,079",95.64%,71.86%,739,3.75,30.39%,23.76%,-25.02%,"46,353","-25,663",-35.64%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2008-01-01,year,3,5001-10000,"Shannon Williams, Sheng Liang, Will Chan",,,,,
ON24,https://www.crunchbase.com/organization/on24,"ON24 is the global leader in webinar-based marketing solutions that drive demand generation and customer engagement. Its patented cloud-based platform features an interactive and immersive user interface and industry-leading webinar analytics for events, campaigns and benchmarking. Providing one-click access from any computer or mobile device, ON24’s award-winning solutions are integrated with leading CRM and marketing automation platforms, enabling marketers to optimize demand generation, enhance lead qualification and accelerate opportunities in their sales pipelines.","Analytics, Cloud Management, Lead Generation, Marketing, SaaS, Video Streaming",http://www.on24.com/,"San Francisco, California, United States","ON24 is a cloud-based Platform that makes easy to create, scale, and personalize engaging experiences to take leads to revenue.","55,788","2,434,985","3,468,650.5",-26.25%,-14.08%,879,2.99,-15.75%,40.05%,18.63%,"54,332","15,111",38.53%,"San Francisco Bay Area, West Coast, Western US",Active,1998-01-01,year,1,501-1000,Sharat Sharan,,,22609049,USD,22609049
