Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Hospitality Saint-Thomas de Villeneuve,https://www.crunchbase.com/organization/hospitality-saint-thomas-de-villeneuve,1661-01-01,year,1001-5000,"The Saint-Thomas de Villeneuve Hospitality group consists of 15 nonprofit organizations, including hospitals, clinics, reception services for the elderly, and homes for adults with disabilities. Hospitality was founded by the congregation of hospitaller sisters.",https://www.hstv.fr,"Collaboration, Health Care, Hospital, Nursing and Residential Care, Wellness","Lamballe, Bretagne, France",Saint-Thomas de Villeneuve Hospitality provides services through nonprofit health and medico-social establishments.,"1,847,800","75,509","26,204",385.71%,-23.03%,274,4.06,141.32%,36.65%,-46.48%,"659,800","-1,046,957",-61.34%
AT&T,https://www.crunchbase.com/organization/at-t-9cf2,1876-01-01,year,10001+,"AT&T is the first truly modern media company.AT&T is changing the way people live, work and play for the past 140 years. It started with Alexander Graham Bell’s telephone. Since then, our legacy of innovation sparked the invention of the transistor – the building block of today’s digital world – as well as the solar cell, the communications satellite, and machine learning.",https://about.att.com/,"Collaboration, Communications Infrastructure, Telecommunications","Dallas, Texas, United States",AT&T is the first truly modern media company.,"1,444,520",,,,,,,,,,,,
Bedfordshire Chamber of Commerce,https://www.crunchbase.com/organization/bedfordshire-chamber-of-commerce,1877-01-01,year,10001+,,https://www.chamber-business.com/,"Business Development, Collaboration, Consulting, Non Profit, Trading Platform","Luton, Bedfordshire, United Kingdom","Bedfordshire Chamber of Commerce provides export documentation, international trade, lobbying, peer-to-peer, and collaboration services.","777,655",724,"2,340.17",93.58%,-73.44%,0,1,0%,100%,0%,"7,552,417","-1,207,632",-13.79%
Iowa City Public Library,https://www.crunchbase.com/organization/iowa-city-public-library,1896-01-01,year,,,https://www.icpl.org,"Collaboration, Communities, Information Services","Iowa City, Iowa, United States",Iowa City Public Library is a center of knowledge and entertainment for every age.,"1,206,304","145,268","85,669.17",11.59%,-64.4%,68,4.45,6.19%,12.15%,-42.36%,"426,535","-17,064",-3.85%
Qronoport,https://www.crunchbase.com/organization/qronoport,1905-01-01,year,1-10,,https://qronoport.com/,"Collaboration, Internet, Online Portals, Publishing","Antwerp, Antwerpen, Belgium","Qronoport is an online collaborative data-sharing platform that provides online port data, port calls, live port departures, and arrivals.","1,673,800",,,,,,,,,,,,
Vinten,https://www.crunchbase.com/organization/vinten,1910-01-07,day,251-500,"Vinten's wide range of lightweight, studio and outside broadcast camera support equipment enables you to work the way you choose without compromise.  Discover how innovation, collaboration and ongoing successes have enabled Vinten and their products to develop over the last century.",http://www.vinten.com,"Broadcasting, Collaboration, Robotics","England, Nordrhein-Westfalen, Germany",Vinten is a company engaged in the sales of camera support equipment.,"1,121,312","4,077","9,654.67",-13.46%,33.33%,8,1.58,9.32%,63.04%,-11.42%,"3,735,275","241,929",6.93%
McCann Worldgroup,https://www.crunchbase.com/organization/mccann-worldgroup,1912-01-01,year,10001+,"McCann is a global agency network that delivers strategic marketing solutions, advertising agency models, and advertising campaigns. It has operations in over 120 countries with around nine decades of multinational experience. The network is comprised of a collaborative roster of agencies, including McCann Erickson: an advertising agency network; MRM: an agency focused on digital marketing and relationship management; Momentum: an agency offering experiential marketing services; McCann Health: an agency offering professional and DTC communications; Craft Worldwide: a global production company; UM: a media management agency; Weber Shandwick: a public relations agency; and FutureBrand: a consulting and design agency. Its global brands include Chevrolet, Coco-Cola, L’Oreal, GlaxoSmithKline, Microsoft, Nestle, MasterCard, Zurich, and more.  McCann was founded in 1912 and is headquartered in New York, United States with offices in North America, South America, EMEA, and APAC.",http://mccann.com/,"Advertising, Advertising Platforms, Collaboration","New York, New York, United States","McCann is a global agency network that delivers strategic marketing solutions, advertising agency models, and advertising campaigns.","134,723","40,005","35,847.67",15.42%,-53.73%,31,1.13,-11.35%,87.29%,11.6%,"995,165","-65,490",-6.17%
The Beck Group,https://www.crunchbase.com/organization/the-beck-group,1912-01-01,year,501-1000,,http://www.beckgroup.com,Collaboration,"Dallas, Texas, United States",Beck Group is a team of designers and builders collaborating to meet the vision of clients.,"446,785","18,850","21,140.5",-48.01%,-94.3%,9,1.43,-37.49%,87.7%,55.44%,"1,568,359","538,014",52.22%
subreport Campus,https://www.crunchbase.com/organization/subreport-campus,1918-01-01,day,51-100,,http://www.subreportcampus.de,"Collaboration, Data Center, Knowledge Management","Cologne, Nordrhein-Westfalen, Germany",subreport Campus is a platform that enables data to be collected and stored with a focus on knowledge management and collaboration.,"1,720,062",,,,,,,,,,,,
Gainesville Area Chamber of Commerce,https://www.crunchbase.com/organization/gainesville-area-chamber-of-commerce,1924-01-01,year,11-50,"Formed in 1924, the Gainesville Area Chamber of Commerce is the voice of business in the Gainesville region. Representing more than 1,300 members that employ more than 70,000 employees, the Chamber firmly believes that thriving businesses build a thriving community. To best support the success of Their business community and the overall growth of Their regional economy, the Chamber strives daily to advance its mission to facilitate economic prosperity, business growth and community progress. Via five lines of business — Business Development, Economic Development, Workforce Development, Public Policy, and Regional Growth — the Chamber works to move Greater Gainesville closer to a vision of Their region as the global hub of talent, innovation and opportunity. The Gainesville Area Chamber of Commerce is a 5-star accredited chamber by the United States Chamber of Commerce, putting it in the top 1% of all chambers of commerce nationwide. This prestigious distinction is not something They take lightly, and They strive to continue to improve Their efforts and services to provide a more positive impact on Their business community and economic region every day.",http://www.gainesvillechamber.com/,"B2B, Collaboration, Non Profit","Gainesville, Florida, United States",Gainesville Area Chamber of Commerce is the voice of business in the Gainesville region.,"591,420","20,704","15,191.33",28.85%,"2,466.67%",77,1.36,5.49%,91.6%,28.24%,"1,488,816","-190,695",-11.35%
